,Address,total_cost
0,20001383916,145932000.0
1,20001383917,141528000.0
2,20001383919,15020000.0
3,20001383923,56097552.0
4,20001383926,38532552.0
5,20001383929,125710000.0
6,20001384014,161862552.0
7,20001384015,45431552.0
8,20001384021,69622164.0
9,20001384022,35889552.0
10,20001384026,166458776.0
11,20001384029,48478940.0
12,20001384114,97720776.0
13,20001384115,17534776.0
14,20001384121,112737552.0
15,20001384123,165502000.0
16,20001384126,1596071940.0
17,20001384129,61447552.0
18,20001384214,15743388.0
19,20001384215,110268552.0
20,20001384220,85589164.0
21,20001384223,245323000.0
22,20001384226,22907164.0
23,20001384229,37700000.0
24,20001384316,90500776.0
25,20001384317,119216552.0
26,20001384323,75405164.0
27,20001384324,242760164.0
28,20001384326,14908388.0
29,20001384329,137932552.0
30,20001384417,34805388.0
31,20001384418,157435940.0
32,20001384420,44984776.0
33,20001384423,97299552.0
34,20001384426,304745000.0
35,20001384429,120944940.0
36,20001384514,351676000.0
37,20001384517,137462000.0
38,20001384520,106905776.0
39,20001384523,378546000.0
40,20001384526,39378388.0
41,20001384529,559207000.0
42,20001384613,64327776.0
43,20001384616,62674552.0
44,20001384620,54240552.0
45,20001384622,34920164.0
46,20001384626,24885776.0
47,20001384629,72475164.0
48,20001384713,149911164.0
49,20001384718,209482552.0
50,20001384719,102747552.0
51,20001384724,101548552.0
52,20001384726,94595552.0
53,20001384729,202216940.0
54,20001384814,109277164.0
55,20001384817,96348000.0
56,20001384819,119204000.0
57,20001384824,131922000.0
58,20001384826,365340000.0
59,20001384829,123917776.0
60,20001384914,151603552.0
61,20001384917,378623940.0
62,20001384920,115650164.0
63,20001384923,235018552.0
64,20001384926,195195776.0
65,20001384929,444097288.0
66,20001385016,237285000.0
67,20001385018,90249164.0
68,20001385020,24825000.0
69,20001385023,184161000.0
70,20001385026,43428164.0
71,20001385029,32492552.0
72,20001385114,14068164.0
73,20001385115,129633000.0
74,20001385120,10943776.0
75,20001385123,90840000.0
76,20001385126,160063940.0
77,20001385129,12548164.0
78,20001385213,119940328.0
79,20001385214,48775000.0
80,20001385220,19105000.0
81,20001385222,17310000.0
82,20001385226,43135000.0
83,20001385229,163614000.0
84,20001385316,110173776.0
85,20001385318,1487915000.0
86,20001385320,59978776.0
87,20001385322,98070000.0
88,20001385326,72950776.0
89,20001385329,12649552.0
90,20001385414,71240000.0
91,20001385418,7975000.0
92,20001385420,188235000.0
93,20001385423,104661000.0
94,20001385426,41523000.0
95,20001385429,121118000.0
96,20001385515,25046776.0
97,20001385517,91516552.0
98,20001385521,144909716.0
99,20001385523,136678000.0
100,20001385526,77438552.0
101,20001385529,131286000.0
102,20001385616,112817388.0
103,20001385617,254003000.0
104,20001385620,65774000.0
105,20001385624,244515000.0
106,20001385626,212035000.0
107,20001385629,173434000.0
108,20001385716,340242000.0
109,20001385717,88710552.0
110,20001385720,40540000.0
111,20001385721,158378776.0
112,20001385726,234453000.0
113,20001385729,274839999.0
114,20002385813,13655000.0
115,20002385814,181867000.0
116,20002385819,92903164.0
117,20002385823,41602552.0
118,20002385826,186552000.0
119,20002385829,313437552.0
120,20002385913,50045552.0
121,20002385916,294062000.0
122,20002385920,204788776.0
123,20002385924,73100000.0
124,20002385926,268023776.0
125,20002385929,159016776.0
126,20002386014,109095500.0
127,20002386017,93590000.0
128,20002386022,116403000.0
129,20002386023,115770000.0
130,20002386026,150063000.0
131,20002386029,44792000.0
132,20002386117,54748776.0
133,20002386118,38202552.0
134,20002386120,259270000.0
135,20002386123,146737552.0
136,20002386126,52170000.0
137,20002386129,31877552.0
138,20002386216,155912000.0
139,20002386218,80905000.0
140,20002386220,27209388.0
141,20002386223,97230000.0
142,20002386226,58150000.0
143,20002386229,89831000.0
144,20002386313,31113552.0
145,20002386314,80485000.0
146,20002386320,111540000.0
