Address,member,ISCO_w,ISIC_w,hours_w,days_w,income_w_m,income_w_y,perk_w_y,netincome_w_m,netincome_w_y,Fasl,year
10007007735,1,3119.0,35200,8,6,112000000,1390000000,46000000.0,101373334,1262480008,1,1401
10007007741,2,1345.0,35200,8,6,78000000,986000000,50000000.0,72360000,918320000,1,1401
10009008131,1,8112.0,23960,8,6,55000000,660000000,0.0,54743334,656920008,1,1401
10009008138,1,8111.0,5100,8,6,75000000,900000000,0.0,69800000,837600000,1,1401
10009008534,3,9211.0,1500,10,7,40000000,480000000,0.0,40000000,480000000,1,1401
10009008538,1,8111.0,5100,8,6,75000000,965000000,65000000.0,69800000,902600000,1,1401
10009008541,1,8322.0,23950,8,6,92000000,1184000000,80000000.0,84306667,1091680004,1,1401
10010008929,1,8322.0,49220,7,6,60000000,600000000,0.0,60000000,600000000,1,1401
10010008930,1,8131.0,23990,9,6,56000000,732000000,60000000.0,53386667,700640004,1,1401
10010008935,1,9211.0,1500,8,6,0,60000000,0.0,0,60000000,1,1401
10010008936,3,3253.0,27320,8,6,0,114000000,0.0,0,108681000,1,1401
10010009327,1,5153.0,52210,8,6,39000000,510000000,42000000.0,37180000,488160000,1,1401
10010009332,1,9112.0,85102,6,5,56000000,687000000,15000000.0,53386667,655640004,1,1401
10010009332,1,5224.0,56300,6,7,25000000,300000000,0.0,25000000,300000000,1,1401
10010009335,3,2411.0,21000,8,6,46000000,92000000,0.0,43853334,87706668,1,1401
10010009338,1,9321.0,21000,12,6,72600000,943200000,72000000.0,65952000,863424000,1,1401
10011009727,1,8322.0,49230,14,5,60000000,620000000,0.0,60000000,620000000,1,1401
10011009729,1,9211.0,1500,8,5,55000000,200000000,0.0,55000000,200000000,1,1401
10011009738,1,5153.0,36000,12,5,68000000,856000000,40000000.0,63626667,803520004,1,1401
10011009738,3,7126.0,43220,10,4,50000000,400000000,0.0,50000000,400000000,1,1401
10011009741,1,9314.0,41000,8,1,12500000,150000000,0.0,12500000,150000000,1,1401
10012010128,3,9211.0,1500,8,6,7500000,75000000,0.0,7500000,75000000,1,1401
10012010128,4,9211.0,1500,8,6,9000000,85000000,0.0,9000000,85000000,1,1401
10012010134,1,9211.0,1500,8,6,60000000,60000000,0.0,60000000,60000000,1,1401
10012010136,1,6112.0,1240,8,6,20000000,150000000,0.0,20000000,150000000,1,1401
10012010141,1,7412.0,35100,8,6,115000000,1438000000,58000000.0,103933000,1305196000,1,1401
10013010635,1,9314.0,41000,10,5,40000000,480000000,0.0,40000000,480000000,1,1401
10013010638,1,8322.0,49230,10,3,40000000,50000000,0.0,30000000,50000000,1,1401
10013010638,1,9211.0,1500,8,6,0,150000000,0.0,0,150000000,1,1401
10101010841,2,5224.0,47212,10,7,35000000,445000000,25000000.0,33400000,425800000,1,1401
10101011238,1,8322.0,49230,11,6,45000000,650000000,0.0,45000000,650000000,1,1401
10101011625,1,9314.0,43900,10,3,16000000,210000000,0.0,16000000,210000000,1,1401
10101011629,1,9314.0,43900,10,4,28000000,390000000,0.0,28000000,390000000,1,1401
10101011629,2,4224.0,55101,11,7,30000000,360000000,0.0,30000000,360000000,1,1401
10101011632,1,8142.0,22200,8,6,30000000,380000000,0.0,30000000,380000000,1,1401
10101011632,3,5224.0,47212,9,6,0,72000000,0.0,0,72000000,1,1401
10101011635,1,9314.0,43900,8,5,50000000,490000000,0.0,50000000,490000000,1,1401
10101011641,1,9314.0,43900,6,5,55000000,580000000,0.0,55000000,580000000,1,1401
10102012027,1,9314.0,43900,8,6,55000000,720000000,0.0,55000000,720000000,1,1401
10102012028,2,3512.0,95110,8,6,10000000,85000000,0.0,10000000,85000000,1,1401
10102012034,4,4211.0,82110,8,6,36000000,467000000,35000000.0,34320000,446840000,1,1401
10102012428,1,8322.0,10791,8,6,58000000,736000000,40000000.0,55293000,703516000,1,1401
10102012438,1,8332.0,49230,12,5,65000000,480000000,0.0,65000000,480000000,1,1401
10103012826,1,8160.0,10750,8,6,75000000,975000000,75000000.0,69000000,903000000,1,1401
10103012826,3,4324.0,10750,8,6,68000000,881000000,65000000.0,63030000,821360000,1,1401
10103012838,3,3343.0,68200,9,6,35000000,480000000,0.0,35000000,480000000,1,1401
10103012841,1,7517.0,10711,10,7,68000000,891000000,75000000.0,64827000,852924000,1,1401
10103013226,1,3343.0,49220,5,7,25000000,300000000,0.0,25000000,300000000,1,1401
10103013229,1,9333.0,96092,8,5,45000000,550000000,0.0,45000000,550000000,1,1401
10103013232,2,2341.0,85102,6,4,22000000,198000000,0.0,22000000,198000000,1,1401
10103013234,1,9314.0,43900,10,6,40000000,450000000,0.0,40000000,450000000,1,1401
10103013234,3,9314.0,43900,10,3,25000000,300000000,0.0,25000000,300000000,1,1401
10103013241,1,9314.0,43900,8,6,60000000,560000000,0.0,60000000,560000000,1,1401
10103013631,3,3343.0,71100,8,6,25000000,315000000,15000000.0,25000000,315000000,1,1401
10103013632,2,2619.0,78000,8,6,42000000,519000000,15000000.0,40040000,517040000,1,1401
10103013638,1,8343.0,43900,10,6,60000000,855000000,135000000.0,57200000,821400000,1,1401
10104014026,1,9614.0,78000,8,7,49000000,628000000,40000000.0,46713000,600556000,1,1401
10104014426,1,5224.0,47212,10,6,50000000,625000000,25000000.0,50000000,625000000,1,1401
10104014432,1,8342.0,84130,8,6,67000000,889000000,85000000.0,61173000,819076000,1,1401
10104014829,1,1214.0,84110,8,6,75000000,1145000000,245000000.0,69600000,1080200000,1,1401
10104014831,1,7517.0,10711,8,7,30000000,360000000,0.0,30000000,360000000,1,1401
10104014831,1,9314.0,43900,5,4,30000000,270000000,0.0,30000000,270000000,1,1401
10104014836,1,9314.0,43900,8,5,45000000,520000000,0.0,45000000,520000000,1,1401
10105015227,2,1345.0,85102,5,5,75000000,916000000,16000000.0,66550000,812200000,1,1401
10105015635,1,2211.0,86202,10,6,150000000,1700000000,0.0,150000000,1700000000,1,1401
10105015638,2,7113.0,43300,8,4,35000000,325000000,0.0,35000000,325000000,1,1401
10105015641,3,7517.0,10711,5,7,48000000,591000000,15000000.0,45760000,564120000,1,1401
10105015641,5,5212.0,47810,8,7,35000000,430000000,10000000.0,35000000,430000000,1,1401
10105016025,1,2619.0,69100,8,6,58000000,720000000,24000000.0,55093000,685116000,1,1401
10105016025,2,2341.0,85102,5,5,55000000,676000000,16000000.0,52433000,645196000,1,1401
10105016035,1,5224.0,47730,8,6,45000000,590000000,50000000.0,45000000,590000000,1,1401
10105016425,1,9314.0,43900,8,6,52000000,615000000,0.0,52000000,615000000,1,1401
10105016841,1,5224.0,46300,9,6,50000000,640000000,40000000.0,47667000,612004000,1,1401
10105017232,1,9314.0,43900,8,5,50000000,520000000,0.0,50000000,520000000,1,1401
10105017238,1,9314.0,43900,10,3,15000000,260000000,0.0,15000000,260000000,1,1401
10106018031,1,5224.0,47212,10,7,52000000,634000000,10000000.0,49570000,604840000,1,1401
10106018032,2,4324.0,8100,15,3,0,387000000,35000000.0,0,387000000,1,1401
10106018038,3,9212.0,1462,10,7,53000000,721000000,85000000.0,50527000,691324000,1,1401
10106018041,1,9111.0,81210,10,2,15000000,250000000,0.0,15000000,250000000,1,1401
10107018829,1,9314.0,43900,8,4,0,250000000,0.0,0,250000000,1,1401
10107018833,1,7517.0,10711,5,7,48000000,601000000,25000000.0,45760000,574120000,1,1401
10107019232,1,1345.0,85210,6,5,95000000,1308000000,168000000.0,88750000,1233000000,1,1401
10107019235,1,9214.0,1270,8,3,14000000,95000000,0.0,14000000,95000000,1,1401
10107019235,1,9211.0,1120,6,2,7000000,85000000,0.0,7000000,85000000,1,1401
10107019235,1,9314.0,43900,8,4,0,110000000,0.0,0,110000000,1,1401
10107019628,1,7114.0,43900,10,6,68000000,816000000,0.0,68000000,816000000,1,1401
10107019635,2,2221.0,86100,8,7,75000000,1075000000,175000000.0,66350000,971200000,1,1401
10108020028,1,9314.0,43900,9,6,62000000,715000000,0.0,62000000,715000000,1,1401
10108020035,1,5120.0,56100,12,7,55000000,690000000,30000000.0,52433000,659196000,1,1401
10108020036,1,9314.0,43900,8,4,50000000,590000000,0.0,50000000,590000000,1,1401
10108020041,1,9314.0,43900,10,4,35000000,380000000,0.0,35000000,380000000,1,1401
10108020430,2,2341.0,85102,4,5,70000000,856000000,16000000.0,60700000,744400000,1,1401
10108020433,1,7518.0,10712,7,6,65000000,805000000,25000000.0,62000000,769000000,1,1401
10108020441,1,9314.0,43900,8,4,0,185000000,0.0,0,185000000,1,1401
10108020441,1,9211.0,1120,10,6,35000000,110000000,0.0,35000000,110000000,1,1401
10109020838,2,3343.0,42200,8,6,22000000,279000000,15000000.0,21000000,267000000,1,1401
10109020841,1,5131.0,56100,6,2,7000000,125000000,0.0,7000000,125000000,1,1401
10109021228,1,9314.0,43900,8,2,15000000,190000000,0.0,15000000,190000000,1,1401
10109021234,2,9314.0,43900,8,5,40000000,375000000,0.0,40000000,375000000,1,1401
10110021626,1,9314.0,43900,8,5,40000000,420000000,0.0,40000000,420000000,1,1401
10110021634,1,7115.0,16220,12,3,45000000,385000000,0.0,45000000,385000000,1,1401
10110021634,3,5224.0,45300,8,6,30000000,360000000,0.0,30000000,360000000,1,1401
10110021638,1,9211.0,1120,7,6,50000000,250000000,0.0,50000000,250000000,1,1401
10110021638,2,9211.0,1120,7,6,40000000,120000000,0.0,40000000,120000000,1,1401
10110021641,1,8341.0,1610,9,6,45000000,380000000,0.0,45000000,380000000,1,1401
10110022027,1,8322.0,49230,9,6,0,500000000,0.0,0,500000000,1,1401
10111022427,1,8322.0,46300,8,6,54000000,688000000,40000000.0,51480000,657760000,1,1401
10111022432,1,2619.0,84230,8,6,85000000,1185000000,165000000.0,74450000,1058400000,1,1401
10111022831,1,3424.0,93110,5,5,60000000,780000000,0.0,60000000,780000000,1,1401
10111022833,3,8142.0,22200,10,6,38000000,488000000,32000000.0,36227000,466724000,1,1401
10111022838,1,9314.0,43900,10,5,45000000,570000000,0.0,45000000,570000000,1,1401
10111023238,3,9314.0,43900,7,6,55000000,580000000,0.0,55000000,580000000,1,1401
10112023629,1,4324.0,46610,9,6,62000000,839000000,95000000.0,58700000,799400000,1,1401
10112023641,1,8322.0,84230,8,6,60000000,740000000,20000000.0,57000000,704000000,1,1401
10112023641,3,7127.0,43220,8,6,40000000,160000000,0.0,40000000,160000000,1,1401
10113024027,2,9211.0,1120,9,3,25000000,60000000,0.0,25000000,60000000,1,1401
10113024027,3,7231.0,45200,8,6,25000000,355000000,55000000.0,25000000,355000000,1,1401
10113024430,1,7413.0,35100,12,3,85000000,1090000000,70000000.0,78140000,1007680000,1,1401
10113024432,1,9314.0,43900,8,4,0,235000000,0.0,0,235000000,1,1401
10113024436,1,9314.0,43900,10,3,18000000,195000000,0.0,18000000,195000000,1,1401
10114024827,1,8114.0,43900,12,6,60000000,740000000,20000000.0,57200000,706400000,1,1401
10114024835,2,4226.0,86202,8,6,25000000,320000000,20000000.0,25000000,320000000,1,1401
10114024841,1,5224.0,47520,11,6,60000000,580000000,0.0,60000000,580000000,1,1401
10115025228,1,9314.0,43900,8,5,50000000,570000000,0.0,50000000,570000000,1,1401
10115025232,1,9314.0,43900,9,6,55000000,680000000,0.0,55000000,680000000,1,1401
10115025232,4,3343.0,69100,4,5,15000000,175000000,0.0,15000000,175000000,1,1401
10115025238,1,8114.0,23950,11,4,55000000,600000000,0.0,55000000,600000000,1,1401
10115025241,1,9314.0,43900,10,4,30000000,350000000,0.0,30000000,350000000,1,1401
10116026029,2,2341.0,85102,4,5,79000000,1063000000,115000000.0,69590000,950080000,1,1401
10201026229,1,2166.0,62010,8,6,118300000,1434600000,15000000.0,106825367,1296904404,1,1401
10201026626,1,2310.0,85300,8,3,15000000,180000000,0.0,15000000,180000000,1,1401
10202027029,1,3135.0,28210,9,6,75000000,915000000,15000000.0,71570000,873840000,1,1401
10202027032,4,8114.0,23950,9,6,50000000,615000000,15000000.0,50000000,615000000,1,1401
10202027038,1,8114.0,23950,9,6,58000000,711000000,15000000.0,55401600,679819200,1,1401
10202027438,1,4211.0,64191,8,6,95600000,1163200000,16000000.0,87276000,1063312000,1,1401
10202027838,3,9314.0,41000,9,5,40000000,480000000,0.0,40000000,480000000,1,1401
10202027838,4,8332.0,49230,8,6,60000000,720000000,0.0,60000000,720000000,1,1401
10202027841,1,9321.0,46300,9,6,55000000,676000000,16000000.0,52536000,646432000,1,1401
10204028226,1,9314.0,41000,12,6,50000000,600000000,0.0,50000000,600000000,1,1401
10205028626,1,2511.0,46510,8,6,0,890000000,50000000.0,0,862876000,1,1401
10205028635,3,5224.0,47610,8,6,40000000,480000000,0.0,40000000,480000000,1,1401
10206029026,1,2341.0,85102,5,5,110000000,1350000000,30000000.0,89235000,1100820000,1,1401
10206029035,1,2411.0,61000,8,6,80000000,995000000,35000000.0,68266667,854200000,1,1401
10206029041,3,510.0,84220,12,7,25000000,300000000,0.0,25000000,300000000,1,1401
10207029435,4,7212.0,25920,8,5,50000000,600000000,0.0,50000000,600000000,1,1401
10207029825,1,7421.0,43210,8,6,70000000,860000000,20000000.0,70000000,860000000,1,1401
10207029825,1,2310.0,85300,6,5,0,80000000,0.0,0,80000000,1,1401
10207029826,2,3512.0,95110,6,6,65000000,780000000,0.0,65000000,780000000,1,1401
10207030228,3,8157.0,96010,9,6,20000000,240000000,0.0,20000000,240000000,1,1401
10207030233,1,7123.0,41000,9,6,60000000,720000000,0.0,60000000,720000000,1,1401
10208030634,1,9314.0,41000,10,5,50000000,600000000,0.0,50000000,600000000,1,1401
10208030641,3,4226.0,86901,11,6,25000000,305000000,5000000.0,25000000,305000000,1,1401
10210031028,2,8332.0,49230,9,6,65000000,780000000,0.0,65000000,780000000,1,1401
10214031829,1,5131.0,56100,9,6,56500000,726500000,48500000.0,53942433,695809196,1,1401
10214031835,1,6113.0,97000,9,6,59500000,770000000,56000000.0,56862166,738345992,1,1401
10214031835,3,8332.0,84110,9,6,56500000,734000000,52000000.0,53863333,698359996,1,1401
10214031838,1,6113.0,97000,9,6,65000000,830000000,50000000.0,65000000,830000000,1,1401
10214031841,1,9329.0,25990,9,6,64500000,826000000,52000000.0,61640500,791686000,1,1401
10214031841,3,7412.0,43220,9,6,35000000,440000000,20000000.0,35000000,440000000,1,1401
10215032238,1,5224.0,47213,10,6,20000000,240000000,0.0,20000000,240000000,1,1401
10215032241,1,4223.0,49220,8,7,20000000,240000000,0.0,20000000,240000000,1,1401
10216032632,3,7114.0,41000,8,5,60000000,720000000,0.0,60000000,720000000,1,1401
10216032634,1,9314.0,41000,8,6,62500000,750000000,0.0,62500000,750000000,1,1401
10216032634,3,5131.0,56100,10,6,42000000,504000000,0.0,42000000,504000000,1,1401
10219033435,1,9314.0,41000,11,7,42000000,504000000,0.0,42000000,504000000,1,1401
10220033825,1,5224.0,47520,11,6,80000000,960000000,0.0,64000000,768000000,1,1401
10221034232,3,7132.0,45200,8,6,35000000,425000000,5000000.0,35000000,425000000,1,1401
10223034629,1,9329.0,13920,8,6,30000000,360000000,0.0,30000000,360000000,1,1401
10223034632,1,9111.0,81210,8,4,35000000,420000000,0.0,35000000,420000000,1,1401
10223034632,2,9314.0,41000,8,3,25000000,300000000,0.0,25000000,300000000,1,1401
10223034634,1,7221.0,25110,8,5,50000000,630000000,30000000.0,46170000,584040000,1,1401
10223034638,2,7124.0,43900,8,5,30000000,360000000,0.0,30000000,360000000,1,1401
10223034641,1,9314.0,41000,8,6,60000000,720000000,0.0,60000000,720000000,1,1401
10223034641,3,9314.0,41000,8,6,50000000,600000000,0.0,50000000,600000000,1,1401
10224035026,3,2320.0,85210,6,5,63000000,771000000,15000000.0,56210000,689520000,1,1401
10224035029,1,3343.0,41000,8,6,60000000,776000000,50000000.0,56387000,726644000,1,1401
