Address,tenure,room,space,construction,material,vehicle,motorcycle,cookingfuel,heatingfuel,waterheatingfuel,facilities
10506064838,1,3,80.0,3.0,4,1,0,3,2,2,6
10506064841,4,4,100.0,3.0,4,0,0,3,2,2,8
10506064926,1,4,120.0,3.0,4,0,0,3,2,2,6
10506064929,4,4,100.0,3.0,4,1,0,3,2,2,7
10506064935,4,3,100.0,3.0,4,1,0,3,2,2,5
10506064938,5,3,95.0,3.0,4,0,0,3,2,2,6
10506065026,4,3,85.0,3.0,4,0,0,3,2,2,6
10506065029,4,3,70.0,3.0,4,0,0,3,2,2,4
10506065032,4,4,110.0,3.0,4,0,0,3,2,2,5
10506065038,5,3,75.0,3.0,4,0,0,3,2,2,5
10506065125,5,2,20.0,3.0,4,0,0,3,2,2,5
10506065138,1,3,110.0,3.0,4,0,0,3,2,2,5
10506065141,4,4,120.0,3.0,4,1,0,3,2,2,7
10506065226,4,3,80.0,3.0,2,0,0,2,3,1,3
10506065229,0,4,110.0,3.0,4,1,0,3,2,2,6
10506065231,4,4,120.0,3.0,4,0,0,3,2,2,4
10506065234,4,4,110.0,3.0,4,0,0,3,2,2,5
10506065238,1,2,30.0,3.0,4,1,0,2,3,1,3
10506065241,4,3,60.0,3.0,4,1,0,3,2,2,4
10507065632,5,3,100.0,3.0,4,0,0,3,2,2,7
10507065635,1,4,120.0,3.0,4,0,0,3,2,2,5
10507065638,4,3,80.0,3.0,4,0,1,3,2,2,6
10507065641,4,3,80.0,3.0,4,1,0,3,2,2,6
10507066026,4,4,195.0,2.0,4,0,0,3,2,2,6
10507066032,4,4,140.0,3.0,4,1,0,3,2,2,6
10507066035,4,4,130.0,3.0,4,0,0,3,2,2,6
10507066038,4,4,170.0,3.0,4,0,0,3,2,2,8
10507066041,4,8,210.0,3.0,4,1,0,3,2,2,8
10508066425,5,3,120.0,3.0,4,0,0,3,2,2,9
10508066429,4,4,120.0,3.0,4,0,0,3,2,2,7
10508066432,4,4,120.0,3.0,4,1,0,3,2,2,7
10508066435,4,4,100.0,2.0,4,1,0,3,2,2,7
10508066438,4,4,144.0,3.0,4,1,0,3,2,2,7
10509066828,0,4,140.0,3.0,4,0,0,3,2,2,6
10509066829,5,3,70.0,3.0,4,0,0,3,2,2,5
10509066833,5,3,45.0,3.0,4,0,1,3,2,2,5
10509066835,5,4,100.0,3.0,4,0,0,3,2,2,5
10509067228,5,3,50.0,3.0,4,0,1,3,2,2,5
10509067230,4,4,80.0,3.0,1,0,1,3,2,2,6
10509067235,4,3,80.0,3.0,4,1,0,3,2,2,5
10509067238,4,4,100.0,3.0,4,0,0,3,2,2,6
10509067241,4,3,70.0,3.0,4,0,1,3,2,2,6
10510067627,5,4,110.0,3.0,4,1,0,3,2,2,7
10510067630,1,4,110.0,3.0,4,0,0,3,2,2,5
10510067631,4,4,130.0,3.0,4,1,0,3,2,2,7
10510067633,4,4,120.0,3.0,4,1,0,3,2,2,7
10510067638,1,4,70.0,3.0,4,0,0,3,2,2,6
10511068029,4,4,150.0,3.0,4,0,0,3,2,2,7
