,Address,total_cost
245,20004388011,13620000.0
246,20004388014,105385000.0
247,20004388018,157397164.0
248,20004388020,296355000.0
249,20004388023,38180776.0
250,20004388107,39214164.0
251,20004388109,36759776.0
252,20004388113,163432552.0
253,20004388114,23557500.0
254,20004388120,50870000.0
255,20004388123,127805000.0
256,20004388208,41947776.0
257,20004388211,125483776.0
258,20004388214,31063776.0
259,20004388217,6978776.0
260,20004388220,391961552.0
261,20004388223,7589388.0
262,20004388308,12962776.0
263,20004388311,8128776.0
264,20004388314,266420164.0
265,20004388317,67828164.0
266,20004388320,46807552.0
267,20004388323,11925388.0
268,20004388408,6145388.0
269,20004388411,50073776.0
270,20004388413,168412552.0
271,20004388418,138031000.0
272,20004388420,7219388.0
273,20004388423,11260000.0
274,20004388508,259418776.0
275,20004388509,82290000.0
276,20004388513,281539000.0
277,20004388514,245206552.0
278,20004388520,46135000.0
279,20004388523,37381552.0
280,20005388609,55153940.0
281,20005388610,52391940.0
282,20005388614,233927000.0
283,20005388616,72360000.0
284,20005388620,97360000.0
285,20005388623,79123000.0
286,20005388708,61410000.0
287,20005388712,352958999.0
288,20005388715,133665000.0
289,20005388716,7817000.0
290,20005388720,12244388.0
291,20005388723,2670000.0
292,20005388808,173357000.0
293,20005388811,193879000.0
294,20005388815,1070489000.0
295,20005388818,174465000.0
296,20005388820,281997288.0
297,20005388823,127668288.0
298,20005388912,141336000.0
299,20005388915,35265000.0
300,20005388917,97337000.0
301,20005388920,32112000.0
302,20005389008,3055000.0
303,20005389011,12710000.0
304,20005389014,67044388.0
305,20005389018,56343164.0
306,20005389020,23304388.0
307,20005389023,4403388.0
308,20005389110,79043200.0
309,20005389111,84400000.0
310,20005389114,7273388.0
311,20005389117,4573388.0
312,20005389120,15145000.0
313,20005389123,225668000.0
314,20005389208,56493164.0
315,20005389210,28726940.0
316,20005389213,155825000.0
317,20005389214,23530000.0
318,20005389220,27863000.0
319,20005389223,10311164.0
320,20006389311,193068164.0
321,20006389312,35613776.0
322,20006389316,27951000.0
323,20006389320,68237552.0
324,20006389323,64462776.0
325,20006389411,1813677500.0
326,20006389412,249267000.0
327,20006389414,134870000.0
328,20006389416,24249000.0
329,20006389420,119235000.0
330,20006389423,471607000.0
331,20006389508,27782000.0
332,20006389511,7085000.0
333,20006389514,27966000.0
