Address,member,Male_count,Female_count,age,literacy,studying,degree,occupationalst,maritalst
10001001914,3,1,2,25.333333333333332,1.0,0.3333333333333333,9,4,1
10001001916,2,1,1,58.5,0.0,0.0,6,1,1
10001001920,4,3,1,24.0,1.0,0.5,2,3,1
10001001923,4,2,2,25.75,1.0,0.5,2,3,1
10001002008,2,1,1,74.5,0.5,0.0,3,1,1
10001002012,3,2,1,36.0,1.0,0.3333333333333333,3,4,1
10001002014,2,1,1,52.0,1.0,0.0,2,1,1
10001002018,2,1,1,45.5,1.0,0.0,9,4,1
10001002020,3,1,2,20.333333333333332,0.6666666666666666,0.0,2,4,1
10001002023,5,4,1,28.0,1.0,0.2,3,4,2
10001002207,5,4,1,28.0,1.0,0.4,3,6,2
10001002211,4,2,2,23.5,0.75,0.25,3,4,1
10001002217,4,3,1,47.0,0.75,0.0,3,4,1
10001002218,4,1,3,22.5,0.75,0.25,2,4,1
10001002220,5,2,3,25.2,1.0,0.4,3,3,2
10001002223,3,2,1,45.0,0.6666666666666666,0.3333333333333333,3,4,1
10001002308,5,2,3,31.4,1.0,0.4,4,3,2
10001002312,2,1,1,64.5,1.0,0.0,9,1,1
10001002314,3,1,2,40.0,1.0,0.3333333333333333,9,4,1
10001002317,3,2,1,45.666666666666664,1.0,0.3333333333333333,2,4,1
10001002320,4,2,2,38.5,1.0,0.25,0,4,1
10001002323,3,1,2,42.333333333333336,1.0,0.3333333333333333,2,4,1
10001002408,3,1,2,49.333333333333336,1.0,0.0,0,0,1
10001002410,2,1,1,67.5,0.5,0.0,3,1,1
10001002413,3,1,2,46.666666666666664,0.6666666666666666,0.3333333333333333,3,4,1
10001002414,3,2,1,55.333333333333336,1.0,0.0,3,4,1
10001002420,5,2,3,18.6,0.8,0.4,0,3,2
10001002423,5,4,1,42.2,1.0,0.0,3,4,2
10001002510,1,1,0,86.0,0.0,0.0,6,1,3
10001002511,5,3,2,24.8,0.8,0.4,9,3,2
10001002517,3,2,1,53.333333333333336,1.0,0.0,2,1,1
10001002518,3,1,2,44.333333333333336,1.0,0.0,0,1,1
10001002520,4,3,1,19.5,0.75,0.25,9,4,1
10001002523,4,1,3,26.5,1.0,0.5,2,3,1
10001002608,3,2,1,39.666666666666664,1.0,0.0,9,4,1
10001002611,2,1,1,54.5,1.0,0.0,3,1,1
10001002613,1,1,0,93.0,1.0,0.0,3,1,3
10001002617,2,1,1,67.5,0.0,0.0,6,4,1
10001002620,2,1,1,53.5,0.5,0.0,3,4,1
10001002623,6,3,3,33.166666666666664,0.8333333333333334,0.3333333333333333,3,0,2
10001002708,3,2,1,37.666666666666664,1.0,0.0,3,4,1
10001002711,2,1,1,54.0,1.0,0.0,3,4,1
10001002713,4,2,2,30.0,1.0,0.5,0,3,1
10001002715,3,1,2,23.666666666666668,0.6666666666666666,0.0,2,4,1
10001002720,4,1,3,24.75,1.0,0.5,3,3,1
10001002723,2,1,1,35.5,1.0,0.0,2,1,3
10002002808,2,1,1,55.0,1.0,0.0,3,4,1
10002002810,1,0,1,88.0,0.0,0.0,6,1,3
10002002815,2,1,1,62.5,1.0,0.0,2,4,1
10002002816,3,1,2,19.666666666666668,0.6666666666666666,0.0,2,0,1
10002002820,4,2,2,43.25,1.0,0.0,3,0,1
10002002823,3,2,1,39.666666666666664,1.0,0.0,9,1,1
10002002908,4,1,3,48.25,1.0,0.0,3,6,1
10002002911,4,1,3,20.5,0.75,0.25,9,4,1
10002002913,2,1,1,76.0,1.0,0.0,7,4,1
10002002914,2,1,1,64.0,0.5,0.0,3,1,1
10002002920,2,1,1,50.5,1.0,0.0,3,4,1
10002002923,2,1,1,62.5,0.5,0.0,3,1,1
10002003010,4,2,2,26.75,1.0,0.5,3,3,1
10002003011,3,1,2,74.0,0.3333333333333333,0.0,6,0,1
10002003017,2,1,1,59.5,1.0,0.0,3,4,1
10002003020,3,1,2,19.666666666666668,0.6666666666666666,0.0,2,4,1
10002003023,4,3,1,19.75,0.75,0.25,2,4,1
10003003108,4,1,3,34.25,1.0,0.0,3,0,1
10003003111,4,2,2,20.75,0.75,0.25,3,4,1
10003003114,2,1,1,51.5,0.5,0.0,6,1,3
10003003117,1,0,1,37.0,1.0,0.0,2,1,2
10003003120,4,2,2,28.5,1.0,0.5,9,3,1
10003003123,1,1,0,75.0,1.0,0.0,3,1,3
10003003207,2,1,1,52.0,1.0,0.0,2,1,1
10003003211,3,2,1,50.666666666666664,1.0,0.0,0,4,1
10003003213,2,1,1,22.0,1.0,0.5,0,1,1
10003003217,3,2,1,23.666666666666668,1.0,0.3333333333333333,3,4,1
10003003220,4,2,2,16.25,0.5,0.0,9,5,1
10003003223,2,1,1,49.0,1.0,0.5,2,1,3
10003003309,3,1,2,21.333333333333332,0.6666666666666666,0.0,0,4,1
10003003312,2,1,1,25.5,1.0,0.0,0,4,1
10003003315,4,3,1,25.25,0.75,0.25,2,4,1
10003003318,3,2,1,49.666666666666664,1.0,0.0,2,4,1
10003003320,6,4,2,37.666666666666664,1.0,0.0,9,4,2
10003003323,4,2,2,31.75,1.0,0.5,9,3,1
10003003507,2,0,2,73.0,0.0,0.0,6,1,3
10003003508,4,1,3,30.75,1.0,0.5,3,3,1
10003003514,1,0,1,70.0,0.0,0.0,6,1,3
10003003517,4,2,2,42.0,1.0,0.0,0,6,1
10003003520,4,2,2,35.25,1.0,0.25,2,1,1
10003003523,2,1,1,45.5,1.0,0.0,3,4,1
10004003611,3,1,2,43.333333333333336,1.0,0.3333333333333333,9,1,1
10004003612,5,4,1,43.0,1.0,0.2,2,6,2
10004003614,1,1,0,95.0,1.0,0.0,3,1,3
10004003617,2,1,1,62.0,0.5,0.0,3,4,1
10004003620,3,1,2,28.333333333333332,1.0,0.3333333333333333,2,4,1
10004003623,4,3,1,18.5,0.5,0.0,6,5,1
10004003808,1,0,1,60.0,0.0,0.0,6,1,3
10004003809,4,2,2,17.75,0.75,0.25,2,4,1
10004003817,4,1,3,37.75,1.0,0.25,0,1,1
10004003818,2,1,1,63.0,0.0,0.0,6,1,1
10004003820,2,1,1,68.5,0.5,0.0,3,1,1
10004003823,3,1,2,72.0,0.3333333333333333,0.0,6,2,1
10004003911,5,4,1,24.8,1.0,0.6,3,3,2
10004003912,5,4,1,21.2,0.6,0.2,6,5,2
10004003916,4,2,2,51.25,0.5,0.0,6,4,1
10004003918,2,0,2,27.5,1.0,0.5,3,0,1
10004003920,3,2,1,33.333333333333336,1.0,0.0,3,4,1
10004003923,4,3,1,29.5,1.0,0.5,3,3,1
10004004008,3,2,1,41.666666666666664,1.0,0.0,9,4,1
10004004009,4,2,2,39.25,1.0,0.25,3,4,1
10004004014,3,2,1,23.333333333333332,0.6666666666666666,0.0,2,4,1
10004004016,3,2,1,51.333333333333336,1.0,0.0,3,4,1
10004004020,2,1,1,90.5,0.0,0.0,6,1,1
10004004023,4,2,2,42.75,1.0,0.25,0,4,1
10004004109,2,1,1,65.0,1.0,0.0,2,1,1
10004004111,4,3,1,20.25,0.75,0.25,9,4,1
10004004115,2,1,1,62.0,0.5,0.0,3,1,1
10004004118,4,1,3,22.25,0.75,0.25,0,4,1
10004004120,2,1,1,28.0,1.0,0.0,2,6,1
10004004123,2,1,1,62.0,1.0,0.0,3,1,1
10004004210,5,4,1,45.2,1.0,0.0,3,6,1
10004004211,5,2,3,28.8,1.0,0.4,2,4,2
10004004215,1,0,1,67.0,0.0,0.0,6,1,3
10004004217,1,0,1,56.0,1.0,0.0,4,1,0
10004004220,4,2,2,21.25,0.75,0.25,3,4,1
10004004223,2,1,1,63.5,1.0,0.0,2,1,1
10004004308,3,1,2,26.0,1.0,0.3333333333333333,9,4,1
10004004309,2,1,1,24.5,1.0,0.0,0,4,1
10004004317,3,1,2,33.333333333333336,1.0,0.3333333333333333,0,4,1
10004004318,2,1,1,33.5,1.0,0.0,2,4,1
10004004320,3,2,1,21.0,0.6666666666666666,0.0,2,4,1
10004004323,2,1,1,29.0,1.0,0.0,0,4,1
10004004411,3,2,1,41.666666666666664,1.0,0.3333333333333333,3,1,1
10004004412,1,0,1,80.0,0.0,0.0,6,1,3
10004004413,3,1,2,20.333333333333332,0.6666666666666666,0.0,2,4,1
10004004414,3,2,1,45.333333333333336,1.0,0.0,3,1,1
10004004420,2,1,1,54.0,1.0,0.0,9,1,1
10004004423,4,3,1,31.75,1.0,0.0,3,4,1
10004004508,4,1,3,30.75,1.0,0.25,2,0,1
10004004511,2,1,1,60.5,1.0,0.0,2,1,1
10004004513,4,1,3,19.75,0.75,0.25,0,4,1
10004004514,5,2,3,17.6,0.6,0.2,6,5,2
10004004520,4,1,3,34.0,1.0,0.25,2,1,1
10004004523,2,0,2,31.0,1.0,0.5,3,0,1
10005004608,2,1,1,30.0,1.0,0.0,1,4,1
10005004611,4,2,2,20.75,0.75,0.25,5,4,1
10005004613,3,1,2,24.666666666666668,1.0,0.3333333333333333,2,0,2
10005004618,3,2,1,23.0,0.6666666666666666,0.0,2,4,1
10005004620,2,1,1,24.0,1.0,0.0,2,4,1
10005004623,2,1,1,40.0,1.0,0.0,2,1,3
10005004707,4,2,2,27.25,1.0,0.5,1,3,1
10005004709,4,2,2,38.0,1.0,0.25,3,4,1
10005004713,5,3,2,22.0,0.8,0.4,9,3,2
10005004717,4,3,1,26.5,1.0,0.25,9,4,1
10005004720,3,2,1,21.666666666666668,0.6666666666666666,0.0,9,4,1
10005004723,6,3,3,18.5,0.8333333333333334,0.5,3,3,2
10005004808,2,1,1,61.0,1.0,0.0,3,4,1
10005004810,2,1,1,71.5,1.0,0.0,3,1,1
10005004814,4,2,2,25.75,0.75,0.25,2,4,1
10005004817,2,1,1,61.0,0.5,0.0,6,6,1
10005004820,3,2,1,55.333333333333336,1.0,0.0,9,1,1
10005004823,3,1,2,45.666666666666664,1.0,0.3333333333333333,9,4,1
10005005008,3,2,1,19.0,0.6666666666666666,0.0,3,4,1
10005005011,3,1,2,32.0,0.6666666666666666,0.0,3,1,3
10005005014,2,1,1,74.5,0.5,0.0,3,1,1
10005005020,2,1,1,52.0,1.0,0.0,3,4,1
10005005023,3,1,2,16.0,0.6666666666666666,0.0,2,6,1
10005005107,1,0,1,56.0,1.0,0.0,3,1,3
10005005109,4,1,3,37.75,1.0,0.25,3,1,1
10005005114,2,1,1,77.0,0.5,0.0,3,1,1
10005005116,4,3,1,42.75,0.5,0.0,6,4,1
10005005120,4,3,1,22.25,0.75,0.25,0,4,1
10005005123,4,1,3,21.75,0.75,0.25,2,4,1
10005005208,4,2,2,25.5,1.0,0.5,3,3,1
10005005211,5,2,3,25.6,0.8,0.2,3,4,2
10005005215,4,2,2,29.25,1.0,0.5,3,3,1
10005005217,2,1,1,33.5,1.0,0.0,3,4,1
10005005220,5,2,3,22.0,1.0,0.6,9,3,2
10005005223,4,3,1,21.25,1.0,0.5,9,3,1
10005005308,2,1,1,50.0,1.0,0.0,3,4,1
10005005309,3,1,2,50.666666666666664,1.0,0.0,3,0,1
10005005314,2,1,1,58.0,1.0,0.0,2,1,1
10005005317,4,2,2,23.5,0.75,0.25,5,4,1
10005005320,3,1,2,43.666666666666664,1.0,0.3333333333333333,2,1,1
10005005323,2,1,1,57.5,1.0,0.0,0,1,1
10006005410,4,2,2,32.0,1.0,0.25,9,4,1
10006005411,4,3,1,28.0,1.0,0.5,3,3,1
10006005413,4,2,2,23.5,1.0,0.5,9,3,1
10006005414,4,1,3,20.25,0.75,0.25,9,6,1
10006005420,4,2,2,19.0,0.75,0.25,3,4,1
10006005423,3,2,1,20.666666666666668,0.6666666666666666,0.0,3,4,1
10006005511,3,2,1,50.0,1.0,0.0,2,1,1
10006005512,2,1,1,60.5,1.0,0.0,0,1,1
10006005516,2,1,1,57.5,1.0,0.0,0,1,1
10006005518,3,2,1,45.333333333333336,1.0,0.0,2,1,1
10006005520,2,1,1,31.5,1.0,0.0,9,4,1
10006005523,2,1,1,61.5,1.0,0.0,3,1,1
10006005608,4,1,3,21.75,0.75,0.25,2,4,1
10006005611,3,1,2,27.666666666666668,1.0,0.3333333333333333,3,4,2
10006005615,3,2,1,16.333333333333332,0.6666666666666666,0.0,2,4,1
10006005617,3,2,1,45.666666666666664,1.0,0.0,4,1,1
10006005620,3,2,1,26.666666666666668,1.0,0.3333333333333333,9,4,1
10006005623,3,1,2,42.0,1.0,0.0,3,0,1
10006005707,3,2,1,37.0,1.0,0.3333333333333333,3,4,1
10006005708,4,3,1,32.25,1.0,0.5,2,1,1
10006005716,4,2,2,21.5,0.75,0.5,3,3,1
10006005718,4,3,1,17.75,0.75,0.25,1,4,1
10006005720,4,2,2,28.5,1.0,0.5,3,4,1
10006005723,4,3,1,27.25,1.0,0.5,3,3,1
10006005809,5,2,3,18.2,0.6,0.2,6,5,2
10006005810,4,3,1,18.5,0.75,0.25,2,4,1
10006005817,4,2,2,37.75,1.0,0.0,3,4,1
10006005818,3,2,1,24.0,0.6666666666666666,0.0,2,4,1
10006005820,4,1,3,16.0,0.5,0.0,6,5,2
10006005823,3,1,2,42.333333333333336,1.0,0.0,3,0,1
10006005908,3,1,2,46.0,1.0,0.3333333333333333,2,4,1
10006005910,5,2,3,17.6,0.6,0.4,3,3,2
10006005913,1,1,0,39.0,1.0,0.0,0,6,2
10006005917,4,2,2,18.75,0.75,0.25,3,4,1
10006005920,4,1,3,33.5,1.0,0.5,9,3,1
10006005923,4,3,1,34.75,1.0,0.0,9,4,1
10006006008,3,2,1,33.333333333333336,1.0,0.0,3,4,1
10006006012,3,1,2,18.0,0.6666666666666666,0.0,2,4,1
10006006014,2,1,1,25.5,1.0,0.0,1,4,1
10006006015,3,2,1,63.0,0.6666666666666666,0.0,3,0,1
10006006020,4,2,2,33.25,1.0,0.0,9,1,1
10006006023,2,1,1,34.5,1.0,0.0,9,0,1
10006006108,2,1,1,28.5,1.0,0.0,2,4,1
10006006109,3,2,1,23.333333333333332,0.6666666666666666,0.0,0,4,1
10006006113,4,2,2,56.25,0.75,0.0,2,0,1
10006006114,2,1,1,60.5,1.0,0.0,1,1,1
10006006120,4,3,1,40.0,1.0,0.0,3,1,1
10006006123,6,4,2,38.833333333333336,1.0,0.0,2,4,1
10006006211,5,2,3,23.2,1.0,0.6,2,3,2
10006006212,4,3,1,48.5,0.5,0.0,6,4,1
10006006214,3,2,1,54.0,1.0,0.0,2,1,1
10006006216,6,3,3,39.5,0.8333333333333334,0.16666666666666666,3,4,2
10006006220,4,1,3,43.5,1.0,0.25,3,1,1
10006006223,4,2,2,26.0,0.75,0.25,2,4,1
10006006307,2,1,1,75.0,0.0,0.0,6,1,1
10006006308,3,2,1,39.333333333333336,1.0,0.3333333333333333,3,4,1
10006006314,4,3,1,33.75,1.0,0.5,0,4,1
10006006315,1,1,0,82.0,0.0,0.0,6,1,3
10006006320,1,1,0,70.0,0.0,0.0,6,0,3
10006006323,3,2,1,37.0,1.0,0.3333333333333333,2,4,1
10006006410,4,2,2,21.75,1.0,0.5,3,3,1
10006006411,2,1,1,41.0,1.0,0.0,3,0,3
10006006413,4,1,3,31.0,1.0,0.5,3,3,1
10006006417,5,3,2,33.8,0.8,0.0,3,4,2
10006006420,2,1,1,41.0,0.0,0.0,6,4,1
10006006423,5,3,2,15.6,0.6,0.2,2,5,2
10006006609,6,4,2,31.0,1.0,0.16666666666666666,3,0,1
10006006611,5,2,3,40.8,0.8,0.2,3,4,1
10006006613,4,2,2,39.25,1.0,0.25,2,4,1
10006006616,1,0,1,78.0,0.0,0.0,6,0,3
10006006620,3,1,2,63.0,0.6666666666666666,0.0,3,1,2
10006006623,2,0,2,58.0,0.5,0.0,6,1,3
10006006708,4,2,2,29.75,1.0,0.5,2,3,1
10006006712,3,2,1,18.0,0.6666666666666666,0.0,2,4,1
10006006714,3,1,2,37.666666666666664,1.0,0.3333333333333333,3,1,1
10006006717,3,1,2,44.333333333333336,0.6666666666666666,0.3333333333333333,3,4,1
10006006720,4,2,2,28.5,1.0,0.5,9,3,1
10006006723,4,1,3,65.0,0.25,0.0,6,0,1
10006006811,2,1,1,28.0,1.0,0.0,0,4,1
10006006812,5,3,2,47.4,0.8,0.4,3,4,1
10006006813,2,1,1,73.0,0.5,0.0,3,1,1
10006006814,4,2,2,19.75,0.75,0.25,9,4,1
10006006820,2,1,1,37.5,1.0,0.0,3,4,1
10006006823,2,1,1,64.0,1.0,0.0,3,1,1
10006006908,2,1,1,25.5,1.0,0.0,1,4,1
10006006910,3,2,1,23.333333333333332,0.6666666666666666,0.0,0,4,1
10006006914,3,1,2,26.0,1.0,0.3333333333333333,2,4,1
10006006917,3,2,1,21.666666666666668,0.6666666666666666,0.0,2,4,1
10006006920,6,2,4,23.666666666666668,0.8333333333333334,0.3333333333333333,3,0,2
10006006923,3,2,1,18.333333333333332,1.0,0.6666666666666666,3,3,2
10006007009,3,2,1,25.666666666666668,1.0,0.3333333333333333,2,4,1
10006007010,5,3,2,31.4,1.0,0.2,3,1,2
10006007014,2,1,1,75.5,0.0,0.0,6,1,1
10006007017,5,1,4,15.8,0.6,0.2,9,5,2
10006007020,2,1,1,64.0,1.0,0.0,7,1,1
10006007023,3,2,1,55.0,1.0,0.0,3,1,1
10007007108,6,1,5,37.5,0.6666666666666666,0.16666666666666666,9,0,2
10007007111,1,0,1,70.0,0.0,0.0,6,1,3
10007007113,3,2,1,51.666666666666664,0.6666666666666666,0.0,6,1,1
10007007114,4,1,3,28.75,1.0,0.75,3,3,1
10007007120,2,1,1,63.5,1.0,0.0,2,1,1
10007007123,3,1,2,44.333333333333336,1.0,0.0,0,4,1
10007007208,1,0,1,79.0,0.0,0.0,6,0,3
10007007211,5,1,4,50.0,1.0,0.0,3,0,2
10007007215,2,1,1,86.5,0.5,0.0,3,1,1
10007007217,4,2,2,27.75,1.0,0.5,9,3,1
10007007220,1,0,1,52.0,0.0,0.0,6,0,3
10007007223,4,1,3,28.75,1.0,0.5,3,3,1
10007007309,4,3,1,42.5,1.0,0.0,3,4,1
10007007312,5,1,4,30.6,1.0,0.2,3,0,1
10007007314,4,2,2,25.75,1.0,0.5,9,3,1
10007007317,4,2,2,22.0,0.75,0.25,3,4,1
10007007320,2,1,1,58.5,1.0,0.0,2,1,1
10007007323,5,3,2,33.2,1.0,0.0,0,0,2
10007007509,5,3,2,41.8,0.6,0.4,6,3,1
10007007511,2,1,1,34.0,1.0,0.0,3,1,3
10007007516,2,1,1,69.5,0.5,0.0,3,4,1
10007007517,1,0,1,72.0,0.0,0.0,6,1,3
10007007520,3,1,2,61.0,0.3333333333333333,0.0,6,0,1
10007007523,4,3,1,38.5,1.0,0.0,9,4,1
10007007607,3,1,2,46.333333333333336,1.0,0.0,2,4,1
10007007611,4,1,3,13.25,0.5,0.0,6,5,1
10007007613,4,1,3,36.0,1.0,0.5,0,4,1
10007007617,4,2,2,24.75,1.0,0.5,3,3,1
10007007620,3,1,2,43.0,1.0,0.0,1,0,1
10007007623,3,2,1,38.666666666666664,1.0,0.3333333333333333,0,4,1
10007007709,4,2,2,49.25,1.0,0.0,9,0,1
10007007712,3,2,1,33.0,1.0,0.3333333333333333,3,1,2
10007007717,4,2,2,24.25,0.75,0.25,0,4,1
10007007718,4,2,2,22.75,1.0,0.5,3,3,1
10007007720,5,2,3,33.0,1.0,0.0,3,6,2
10007007723,5,3,2,30.8,1.0,0.4,9,0,2
10007007808,4,3,1,37.0,1.0,0.0,1,1,1
10007007810,4,2,2,33.5,1.0,0.5,2,3,1
10007007816,4,3,1,30.75,1.0,0.25,2,1,1
10007007818,4,1,3,32.5,1.0,0.5,2,3,1
10007007820,3,2,1,52.333333333333336,0.6666666666666666,0.0,3,1,1
10007007823,4,3,1,32.5,1.0,0.5,2,3,1
10007007908,3,2,1,43.333333333333336,1.0,0.0,3,4,1
10007007911,4,2,2,19.75,0.5,0.25,6,6,1
10007007916,3,1,2,19.333333333333332,0.6666666666666666,0.0,9,4,1
10007007917,4,2,2,14.0,0.5,0.0,9,5,1
10007007920,3,1,2,51.0,0.6666666666666666,0.0,3,0,1
10007007923,3,2,1,21.0,0.6666666666666666,0.0,9,4,1
10009008008,3,2,1,22.666666666666668,1.0,0.3333333333333333,3,4,1
10009008011,4,2,2,27.75,1.0,0.5,3,3,1
10009008013,3,2,1,50.333333333333336,1.0,0.0,9,1,1
10009008018,2,1,1,71.5,1.0,0.0,9,4,1
10009008020,3,1,2,56.333333333333336,1.0,0.0,3,0,1
10009008023,5,2,3,20.4,0.8,0.4,3,3,2
10009008108,4,2,2,43.5,1.0,0.25,9,1,1
10009008111,5,2,3,25.4,1.0,0.6,3,3,2
10009008114,4,2,2,18.75,0.5,0.0,6,5,1
10009008117,3,2,1,41.333333333333336,1.0,0.0,9,6,1
10009008120,2,1,1,22.5,1.0,0.0,9,6,1
10009008123,3,1,2,37.0,1.0,0.3333333333333333,3,1,1
10009008211,2,1,1,33.0,1.0,0.0,1,4,1
10009008212,3,1,2,53.333333333333336,0.6666666666666666,0.0,3,0,1
10009008215,2,1,1,30.5,1.0,0.0,5,4,1
10009008217,5,2,3,30.8,0.8,0.0,9,4,2
10009008220,2,1,1,61.5,1.0,0.0,3,1,1
10009008223,1,0,1,63.0,0.0,0.0,6,1,3
10009008310,1,0,1,66.0,0.0,0.0,6,1,3
10009008311,1,0,1,78.0,0.0,0.0,6,1,3
10009008313,3,1,2,35.333333333333336,1.0,0.3333333333333333,3,4,1
10009008317,4,2,2,21.5,0.75,0.25,2,4,1
