Address,member,ISCO_w,ISIC_w,hours_w,days_w,income_w_m,income_w_y,netincome_w_m,netincome_w_y,Fasl,year
20011395008,2,2341,85102,4.0,5.0,23000000,285800000,20930000,260960000,1,98
20011395008,3,7317,16290,8.0,5.0,8000000,24000000,8000000,24000000,1,98
20006389823,1,9211,1500,8.0,4.0,10000000,120000000,10000000,120000000,1,98
20001385018,3,9314,41000,8.0,3.0,9000000,50000000,9000000,50000000,1,98
20001385014,3,5224,46300,12.0,7.0,23200000,297400000,22117334,284408008,1,98
20001385014,4,5153,80100,12.0,7.0,18100000,239200000,17255334,229064008,1,98
20013397412,1,9314,41000,8.0,3.0,4000000,75000000,4000000,75000000,1,98
20013397420,1,7233,13110,8.0,6.0,19760000,258120000,18837867,247054404,1,98
20001385009,5,8153,13910,8.0,3.0,7000000,70000000,7000000,70000000,1,98
20001385009,6,7127,35200,8.0,4.0,14000000,168000000,13346667,160160004,1,98
20007392223,1,9314,41000,10.0,7.0,12000000,144000000,12000000,144000000,1,98
20007391017,3,9321,11040,10.0,6.0,15000000,180000000,14300000,179600000,1,98
20007391015,1,9214,84110,10.0,6.0,18000000,216000000,15370000,192440000,1,98
20006389423,1,8344,32500,12.0,7.0,25000000,318000000,23833334,304000008,1,98
20010393407,3,9211,1500,8.0,3.0,0,40000000,0,40000000,1,98
20006389411,1,5153,13120,12.0,7.0,17000000,222000000,16206667,212480004,1,98
20006389411,4,1412,56100,8.0,7.0,0,24000000,0,24000000,1,98
20007391020,1,7213,31000,9.0,7.0,16000000,192000000,15255000,183060000,1,98
20010393420,1,9329,25990,8.0,6.0,0,120000000,0,120000000,1,98
20006389414,1,5153,96092,8.0,7.0,20000000,270000000,19066667,258800004,1,98
20006389414,3,3112,41000,8.0,6.0,0,51000000,0,51000000,1,98
20104399608,1,9314,43900,10.0,3.0,7000000,68000000,7000000,68000000,1,98
20104399608,3,9314,43900,10.0,5.0,10000000,128000000,10000000,128000000,1,98
20108402411,1,9112,45100,8.0,6.0,10000000,130000000,10000000,130000000,1,98
20104399623,1,7511,10101,8.0,6.0,12000000,156000000,11440000,149280000,1,98
20104399620,1,9333,47520,5.0,4.0,4000000,48000000,4000000,48000000,1,98
20101398311,1,7212,25920,10.0,6.0,12000000,164000000,12000000,164000000,1,98
20101398320,1,9314,43900,8.0,3.0,0,58000000,0,58000000,1,98
20112404210,2,9211,1120,10.0,4.0,8000000,40000000,8000000,40000000,1,98
20104399220,1,9211,1120,9.0,4.0,10000000,50000000,10000000,50000000,1,98
20111403620,1,9211,1411,5.0,7.0,9000000,108000000,8580000,102960000,1,98
20104399214,1,9314,43900,11.0,4.0,4500000,66000000,4500000,66000000,1,98
20104399207,1,7231,45200,12.0,6.0,12000000,140000000,12000000,140000000,1,98
20102398823,2,9211,1120,9.0,6.0,24000000,45000000,24000000,45000000,1,98
20106401023,1,5153,23940,8.0,6.0,30000000,385000000,27900000,359800000,1,98
20104399217,1,9211,1120,10.0,3.0,4000000,30000000,4000000,30000000,1,98
20104399217,1,9314,43900,8.0,3.0,0,48000000,0,48000000,1,98
20108401913,1,8322,84130,8.0,6.0,19000000,290000000,18114000,279368000,1,98
20108401923,1,9211,1120,9.0,2.0,5000000,15000000,5000000,15000000,1,98
20114405115,1,9314,43900,8.0,6.0,15000000,160000000,15000000,160000000,1,98
20114405117,1,1115,84110,5.0,6.0,8000000,96000000,8000000,96000000,1,98
20109402808,1,9211,1120,8.0,3.0,8000000,25000000,8000000,25000000,1,98
20109402811,1,5153,42900,8.0,7.0,9420000,113040000,9000000,108000000,1,98
20115405508,1,9329,10610,7.0,6.0,0,48000000,0,48000000,1,98
20115405508,1,9314,43900,8.0,3.0,0,25000000,0,25000000,1,98
20105400114,3,3122,1462,8.0,6.0,20000000,264000000,19067000,252804000,1,98
20105400108,1,5120,56100,8.0,7.0,15000000,215000000,15000000,215000000,1,98
20115405515,1,9211,1120,8.0,3.0,8000000,68000000,8000000,68000000,1,98
20110403215,1,9314,43900,8.0,3.0,0,15000000,0,15000000,1,98
20110403215,1,5153,42100,8.0,7.0,8000000,94000000,8000000,94000000,1,98
20113404711,3,7413,35100,12.0,4.0,20000000,285000000,19070000,273840000,1,98
20105400617,2,9211,1120,8.0,3.0,6000000,19000000,6000000,19000000,1,98
20105400617,3,7522,31000,10.0,6.0,5000000,60000000,5000000,60000000,1,98
20105400613,1,5131,56100,6.0,5.0,2000000,55000000,2000000,55000000,1,98
20105400620,1,7123,43900,8.0,5.0,10000000,180000000,10000000,180000000,1,98
20101398323,1,9314,43900,10.0,3.0,3000000,68000000,3000000,68000000,1,98
20112404214,1,4324,47990,10.0,6.0,16000000,157000000,16000000,157000000,1,98
20112404214,2,9211,1120,6.0,3.0,5000000,13000000,5000000,13000000,1,98
20207409908,1,9211,1610,8.0,3.0,6000000,72000000,6000000,72000000,1,98
20207409920,1,8341,1610,8.0,3.0,4800000,57600000,4800000,57600000,1,98
20207409920,2,5153,85102,8.0,6.0,9000000,117300000,8600000,112500000,1,98
20207409923,2,9211,1610,8.0,3.0,5400000,64800000,5400000,64800000,1,98
20214411108,1,9212,1440,10.0,7.0,16000000,192000000,16000000,192000000,1,98
20214411108,3,9212,1440,8.0,7.0,13500000,162000000,13500000,162000000,1,98
20214411114,1,9112,86201,9.0,6.0,18950000,238200000,18092196,227906352,1,98
20220413908,1,5153,97000,3.0,7.0,1500000,18500000,1500000,18500000,1,98
20220413908,2,5153,97000,3.0,7.0,1500000,18500000,1500000,18500000,1,98
20220413911,1,9314,41000,11.0,4.0,12600000,151200000,12600000,151200000,1,98
20220413920,1,9333,96092,8.0,3.0,4000000,48000000,4000000,48000000,1,98
20218412720,1,9314,41000,9.0,5.0,15000000,180000000,15000000,180000000,1,98
20218412716,2,510,84230,9.0,6.0,1250000,12500000,1082000,11156000,1,98
20225415520,3,9212,1462,10.0,6.0,8000000,96000000,8000000,96000000,1,98
20225415523,4,9314,43300,8.0,4.0,5600000,67200000,5600000,67200000,1,98
20214411508,1,2330,85210,8.0,6.0,38500000,472000000,33896950,416763400,1,98
20214411514,3,9314,41000,8.0,3.0,9600000,115200000,9600000,115200000,1,98
20201406711,4,9314,43900,8.0,5.0,19800000,237600000,19800000,237600000,1,98
20208410311,3,5322,97000,12.0,7.0,15000000,180000000,15000000,180000000,1,98
20208410320,1,8332,49230,4.0,2.0,4800000,57600000,4800000,57600000,1,98
20208410320,1,7111,41000,8.0,2.0,8000000,96000000,8000000,96000000,1,98
20222414717,3,9314,41000,8.0,4.0,8000000,96000000,8000000,96000000,1,98
20222414717,1,8341,84110,8.0,6.0,18213000,236556000,17433060,227196720,1,98
20222414720,1,9211,1610,8.0,5.0,10000000,120000000,10000000,120000000,1,98
20201406308,1,3324,45100,8.0,5.0,15000000,180000000,15000000,180000000,1,98
