Address,member,Male_count,Female_count,age,literacy,studying,degree,occupationalst,maritalst
20001383925,4,2,2,47.75,4,0,3,4,1
20001383929,3,1,2,66.33333333333333,2,0,3,0,1
20001383932,3,1,2,55.333333333333336,2,0,3,0,1
20001383934,2,1,1,84.5,0,0,6,1,1
20001383938,2,1,1,47.0,1,0,6,4,1
20001383941,3,0,3,39.333333333333336,2,1,3,0,3
20001384026,2,1,1,74.5,0,0,6,4,1
20001384027,5,2,3,19.8,4,2,3,3,2
20001384031,3,2,1,47.666666666666664,2,0,3,4,1
20001384035,4,1,3,19.0,3,0,3,5,1
20001384038,2,1,1,59.5,1,0,3,4,1
20001384041,2,1,1,60.0,1,0,6,1,3
20001384126,2,1,1,73.5,0,0,6,2,1
20001384129,4,2,2,19.25,3,1,3,4,1
20001384135,5,4,1,31.6,5,1,2,4,2
20001384136,4,3,1,29.0,4,2,3,3,1
20001384138,4,3,1,16.5,2,0,6,5,1
20001384141,2,1,1,77.5,0,0,6,1,1
20001384225,3,0,3,28.0,3,1,3,0,2
20001384229,4,3,1,28.0,4,1,3,4,1
20001384232,4,2,2,26.5,4,2,9,3,1
20001384233,3,2,1,58.333333333333336,0,0,6,2,1
20001384238,2,1,1,76.5,0,0,6,2,1
20001384241,5,3,2,22.2,4,2,9,3,2
20001384326,1,0,1,76.0,0,0,6,0,3
20001384327,4,3,1,27.5,4,2,9,3,1
20001384332,5,3,2,27.4,5,1,3,4,2
20001384335,4,2,2,30.25,4,1,9,1,1
20001384338,5,3,2,17.4,4,2,9,3,2
20001384341,2,1,1,52.5,1,0,6,4,1
20001384425,2,0,2,30.0,2,1,3,0,3
20001384426,3,1,2,22.333333333333332,3,1,3,4,1
20001384432,5,4,1,27.8,5,3,9,4,2
20001384435,5,1,4,20.2,4,2,9,3,2
20001384438,2,1,1,29.5,2,0,2,4,1
20001384441,4,2,2,30.75,4,2,3,3,1
20001384525,2,0,2,42.5,1,0,6,1,3
20001384528,4,2,2,36.75,4,1,3,1,1
20001384531,2,0,2,58.0,1,0,6,1,3
20001384533,4,2,2,33.5,4,1,3,0,1
20001384538,3,1,2,36.0,3,1,9,4,1
