Address,member,Total_income,Fasl,year
20009393241,3,6000000,3,1401
20009393241,4,10000000,3,1401
20010393628,1,168000000,3,1401
20010393628,2,5000000,3,1401
20010393628,3,5000000,3,1401
20010393630,1,75000000,3,1401
20010393635,1,265000000,3,1401
20010393636,1,56000000,3,1401
20010393638,1,85320000,3,1401
20010393638,2,5000000,3,1401
20010393638,3,5000000,3,1401
20010393641,1,50180000,3,1401
20010393641,2,4000000,3,1401
20010394026,1,109200000,3,1401
20010394029,1,984280000,3,1401
20010394034,1,9400000,3,1401
20010394034,2,21300000,3,1401
20010394035,1,841900000,3,1401
20010394038,1,126280000,3,1401
20010394041,1,62300000,3,1401
20010394426,1,747900000,3,1401
20010394426,2,6000000,3,1401
20010394427,1,367000000,3,1401
20010394431,1,1260000000,3,1401
20010394433,1,202400000,3,1401
20010394441,1,1032000000,3,1401
20011394827,1,110000000,3,1401
20011394829,1,75000000,3,1401
20011394829,2,5000000,3,1401
20011394829,3,5000000,3,1401
20011394832,1,603150000,3,1401
20011394835,1,71900000,3,1401
20011394838,1,2292000000,3,1401
20011394841,1,770000000,3,1401
20011394841,2,4000000,3,1401
20011395229,1,104000000,3,1401
20011395229,2,4000000,3,1401
20011395230,1,104400000,3,1401
20011395230,2,3800000,3,1401
20011395230,3,3800000,3,1401
20011395230,4,3800000,3,1401
20011395232,1,69000000,3,1401
20011395232,2,5000000,3,1401
20011395232,3,5000000,3,1401
20011395233,1,791720000,3,1401
20011395233,2,4000000,3,1401
20011395238,1,1048520000,3,1401
20011395238,2,4800000,3,1401
20011395238,3,4800000,3,1401
20011395238,4,4800000,3,1401
20011395241,1,71000000,3,1401
20012395625,1,45900000,3,1401
20012395625,2,12000000,3,1401
20012395628,1,43600000,3,1401
20012395628,2,10700000,3,1401
20012395631,1,72200000,3,1401
20012395635,1,304000000,3,1401
20012395638,1,233000000,3,1401
20012395641,1,199200000,3,1401
20012396025,1,50000000,3,1401
20012396026,1,85000000,3,1401
20012396032,1,70000000,3,1401
20012396034,1,225000000,3,1401
20012396038,1,573000000,3,1401
20012396041,1,70000000,3,1401
20012396425,1,122300000,3,1401
20012396426,1,92320000,3,1401
20012396433,1,112300000,3,1401
20012396434,1,76780000,3,1401
20012396438,1,146200000,3,1401
20012396441,1,86680000,3,1401
20012396825,1,145800000,3,1401
20012396825,2,2500000,3,1401
20012396826,1,39900000,3,1401
20012396826,2,6000000,3,1401
20012396826,3,6000000,3,1401
20012396833,1,58000000,3,1401
20012396834,1,115720000,3,1401
20012396838,1,124880000,3,1401
20012396841,1,124000000,3,1401
20013397225,1,60000000,3,1401
20013397225,2,5000000,3,1401
20013397225,3,5000000,3,1401
20013397229,1,78080000,3,1401
20013397229,2,4800000,3,1401
20013397229,3,4800000,3,1401
20013397232,1,88500000,3,1401
20013397232,2,3500000,3,1401
20013397235,1,145120000,3,1401
20013397235,2,4800000,3,1401
20013397235,3,4800000,3,1401
20013397238,1,112000000,3,1401
20013397238,2,3800000,3,1401
20013397241,1,68080000,3,1401
20013397241,2,4800000,3,1401
20013397241,3,4800000,3,1401
20013397628,1,14520000,3,1401
20013397628,2,3800000,3,1401
20013397629,1,95600000,3,1401
20013397629,2,5000000,3,1401
20013397632,1,226000000,3,1401
20013397636,1,312050000,3,1401
20013397636,2,10000000,3,1401
20013397636,3,10000000,3,1401
20013397636,4,10000000,3,1401
20013397638,1,84380000,3,1401
20013397638,2,9000000,3,1401
20013397638,3,9000000,3,1401
20013397641,1,100600000,3,1401
20013397641,2,10000000,3,1401
20013398025,1,210000000,3,1401
20013398028,1,256400000,3,1401
20013398031,1,203920000,3,1401
20013398034,1,72430000,3,1401
20013398034,2,175000000,3,1401
20013398038,1,93200000,3,1401
20013398041,1,114000000,3,1401
20101398125,1,111140000,3,1401
20101398125,2,5200000,3,1401
20101398125,3,10000000,3,1401
20101398125,4,15000000,3,1401
20101398129,1,134210000,3,1401
20101398132,1,66560000,3,1401
20101398132,2,5000000,3,1401
20101398135,1,171560000,3,1401
20101398135,2,5200000,3,1401
20101398138,1,81940000,3,1401
20101398138,3,5000000,3,1401
20101398138,4,5000000,3,1401
20101398141,1,81940000,3,1401
20102398529,1,91870000,3,1401
20102398529,3,8000000,3,1401
20102398529,4,12000000,3,1401
20102398530,1,290830000,3,1401
20102398534,1,45730000,3,1401
20102398535,1,21850000,3,1401
20102398538,1,73830000,3,1401
20102398538,2,5000000,3,1401
20102398538,3,5200000,3,1401
20102398541,1,96670000,3,1401
20102398541,2,5000000,3,1401
20103399027,1,799700000,3,1401
20103399027,2,4400000,3,1401
20103399027,3,4400000,3,1401
20103399029,1,373800000,3,1401
20103399029,2,5000000,3,1401
20103399029,3,42500000,3,1401
20103399029,4,15000000,3,1401
20103399032,1,1195700000,3,1401
20103399032,2,6000000,3,1401
20103399032,3,15700000,3,1401
20103399032,4,15800000,3,1401
20103399035,1,574050000,3,1401
20103399038,1,81150000,3,1401
20103399038,2,1190000,3,1401
20103399041,1,1057800000,3,1401
20104399425,1,85490000,3,1401
20104399425,2,5800000,3,1401
20104399425,3,5400000,3,1401
20104399427,1,79490000,3,1401
20104399431,1,53110000,3,1401
20104399433,1,41110000,3,1401
20104399438,1,77110000,3,1401
20104399438,2,20000000,3,1401
20104399441,1,86440000,3,1401
20104399441,2,4500000,3,1401
20104399441,3,8000000,3,1401
20104399441,4,5000000,3,1401
20105399926,1,91870000,3,1401
20105399927,1,18550000,3,1401
20105399927,2,634550000,3,1401
20105399927,3,21000000,3,1401
20105399932,1,70030000,3,1401
20105399932,2,86500000,3,1401
20105399932,3,850000,3,1401
20105399934,1,694570000,3,1401
20105399934,2,5200000,3,1401
20105399934,3,5200000,3,1401
20105399934,4,5200000,3,1401
20105399938,1,330730000,3,1401
20105399938,3,55000000,3,1401
20105399941,1,46850000,3,1401
20105400326,1,81150000,3,1401
20105400329,1,101800000,3,1401
20105400329,3,15000000,3,1401
20105400329,4,15000000,3,1401
20105400333,1,76100000,3,1401
20105400335,1,276350000,3,1401
20105400335,2,11000000,3,1401
20105400338,1,96190000,3,1401
20105400341,1,37950000,3,1401
20105400828,1,41110000,3,1401
20105400830,1,86110000,3,1401
20105400832,1,570710000,3,1401
20105400832,2,9800000,3,1401
20105400833,1,66660000,3,1401
20105400833,2,5200000,3,1401
20105400833,3,4700000,3,1401
20105400838,1,726510000,3,1401
20105400838,2,5400000,3,1401
20105400841,1,1060750000,3,1401
20106401226,1,647870000,3,1401
20106401229,1,462870000,3,1401
20106401231,1,314850000,3,1401
20106401231,2,9000000,3,1401
20106401231,3,9000000,3,1401
20106401231,4,7000000,3,1401
20106401231,5,8000000,3,1401
20106401232,1,969230000,3,1401
20106401232,2,3500000,3,1401
20106401238,1,429300000,3,1401
20106401241,1,117100000,3,1401
20107401726,1,232500000,3,1401
20107401726,2,48600000,3,1401
20107401726,3,21000000,3,1401
20107401729,1,652850000,3,1401
20107401733,1,137450000,3,1401
20107401733,2,5700000,3,1401
20107401735,1,56350000,3,1401
20107401735,2,6000000,3,1401
20107401738,1,1268000000,3,1401
20107401741,1,802000000,3,1401
20107401741,2,41000000,3,1401
20107401741,3,4700000,3,1401
20108402129,1,41110000,3,1401
20108402131,1,1386910000,3,1401
20108402131,2,5800000,3,1401
20108402132,1,611750000,3,1401
20108402138,1,154560000,3,1401
20108402138,2,3000000,3,1401
20108402141,1,81940000,3,1401
20108402141,2,69850000,3,1401
20109402628,1,98730000,3,1401
20109402630,1,97400000,3,1401
20109402632,1,353850000,3,1401
20109402636,1,53850000,3,1401
20109402638,1,147330000,3,1401
20109402638,2,3500000,3,1401
20109402638,3,15000000,3,1401
20109402641,1,92350000,3,1401
20110403026,1,56350000,3,1401
20110403026,2,6000000,3,1401
20110403029,1,1527350000,3,1401
20110403029,2,6000000,3,1401
20110403032,1,107900000,3,1401
20110403032,2,6000000,3,1401
20110403032,3,17800000,3,1401
20110403032,4,17900000,3,1401
20110403036,1,636100000,3,1401
20110403036,2,6000000,3,1401
20110403036,3,14000000,3,1401
20110403038,1,101800000,3,1401
20110403041,1,1194350000,3,1401
20111403426,1,105350000,3,1401
20111403426,2,25750000,3,1401
20111403427,1,86740000,3,1401
20111403427,2,5000000,3,1401
20111403427,3,5100000,3,1401
20111403433,1,79750000,3,1401
20111403435,1,973110000,3,1401
20111403438,1,1140860000,3,1401
20111403438,2,4800000,3,1401
20111403438,3,4800000,3,1401
20111403441,1,58510000,3,1401
20111403441,2,5400000,3,1401
20111403825,1,97070000,3,1401
20111403825,2,5000000,3,1401
20111403825,3,5100000,3,1401
20111403830,1,73830000,3,1401
20111403830,2,4900000,3,1401
20111403834,1,219930000,3,1401
20111403834,2,8200000,3,1401
20111403835,1,124370000,3,1401
20111403835,2,19500000,3,1401
20111403838,1,61850000,3,1401
20111403841,1,56850000,3,1401
20112404425,1,88100000,3,1401
20112404425,2,11000000,3,1401
20112404425,4,93950000,3,1401
20112404433,1,138400000,3,1401
20112404434,1,76100000,3,1401
20112404434,3,15000000,3,1401
20112404438,1,107800000,3,1401
20112404438,2,6000000,3,1401
20112404438,3,6000000,3,1401
20112404438,4,10000000,3,1401
20112404441,1,139800000,3,1401
20112404441,2,6000000,3,1401
20112404441,3,14000000,3,1401
20112404441,4,12000000,3,1401
20114404926,1,66560000,3,1401
20114404926,2,4800000,3,1401
20114404926,3,4900000,3,1401
20114404930,1,87440000,3,1401
20114404930,2,5400000,3,1401
20114404932,1,659750000,3,1401
20114404934,1,34750000,3,1401
20114404938,1,64360000,3,1401
20114404938,2,2800000,3,1401
20114404938,3,2800000,3,1401
20114404941,1,87140000,3,1401
20114404941,2,5200000,3,1401
20114404941,3,5200000,3,1401
20114404941,4,5200000,3,1401
20115405329,1,74130000,3,1401
20115405329,2,5000000,3,1401
20115405330,1,73330000,3,1401
20115405330,2,4800000,3,1401
20115405335,1,45730000,3,1401
20115405336,1,265730000,3,1401
20115405338,1,94930000,3,1401
20115405338,2,5200000,3,1401
20115405341,1,310870000,3,1401
20115405341,2,4400000,3,1401
20115405341,3,4400000,3,1401
20115405341,4,9400000,3,1401
20116405726,1,76100000,3,1401
20116405726,4,26750000,3,1401
20116405730,2,11000000,3,1401
20116405731,1,168550000,3,1401
20116405731,2,6100000,3,1401
20116405733,1,517750000,3,1401
20116405738,1,183450000,3,1401
20116405738,2,6000000,3,1401
20116405741,1,138800000,3,1401
20116405741,2,6000000,3,1401
20116405741,3,8000000,3,1401
20116405741,4,7000000,3,1401
20201406126,1,67680000,3,1401
20201406129,1,46925000,3,1401
20201406132,1,164925000,3,1401
20201406135,1,92680000,3,1401
20201406138,1,510360000,3,1401
20201406526,1,658140000,3,1401
20201406529,1,1735200000,3,1401
20201406532,1,59180000,3,1401
20201406538,1,48120000,3,1401
20201406541,1,1068200000,3,1401
20202406925,1,89900000,3,1401
20202406932,1,89900000,3,1401
20202406935,1,138900000,3,1401
20202406938,1,78900000,3,1401
20202406941,1,104600000,3,1401
20202407326,1,545200000,3,1401
20202407332,1,2125000000,3,1401
20202407338,1,93200000,3,1401
20202407341,1,93200000,3,1401
20202407727,1,131850000,3,1401
20202407727,5,23850000,3,1401
20202407730,1,104850000,3,1401
20202407732,1,77850000,3,1401
20202407738,1,131850000,3,1401
20202407741,1,50850000,3,1401
20204408125,1,53400000,3,1401
20204408129,1,54000000,3,1401
20204408132,1,528000000,3,1401
20204408134,1,53400000,3,1401
20204408138,1,33000000,3,1401
20204408141,1,54000000,3,1401
20205408528,1,765660000,3,1401
20205408529,1,94320000,3,1401
20205408532,1,63660000,3,1401
20205408536,1,84040000,3,1401
20205408541,1,84040000,3,1401
20206408926,1,29560000,3,1401
20206408929,1,63440000,3,1401
20206408933,1,44600000,3,1401
20206408935,1,978440000,3,1401
20206408938,1,29600000,3,1401
20206408941,1,148760000,3,1401
20207409326,1,676400000,3,1401
20207409335,1,104720000,3,1401
20207409336,1,119600000,3,1401
20207409338,1,460090000,3,1401
20207409341,1,101400000,3,1401
20207409726,1,84425000,3,1401
20207409729,1,763610000,3,1401
20207409732,1,37660000,3,1401
20207409735,1,79690000,3,1401
20208410126,1,1246870000,3,1401
20208410129,1,951840000,3,1401
20208410141,1,1257815000,3,1401
20210410526,1,47160000,3,1401
20210410529,1,59160000,3,1401
20210410532,1,60550000,3,1401
20210410535,1,135100000,3,1401
20210410538,1,60550000,3,1401
20210410541,1,145550000,3,1401
20210410926,1,89610000,3,1401
20210410928,1,68245000,3,1401
20210410932,1,196910000,3,1401
20210410933,1,246910000,3,1401
20210410938,1,84550000,3,1401
20210410941,1,1189610000,3,1401
20214411326,1,1496000000,3,1401
20214411329,1,865030000,3,1401
20214411332,1,104120000,3,1401
20214411338,1,87080000,3,1401
20214411341,1,757656000,3,1401
20215411726,1,113200000,3,1401
20215411732,1,705200000,3,1401
20215411736,1,753350000,3,1401
20215411738,1,1021200000,3,1401
20215411741,1,113200000,3,1401
20215412126,1,25000000,3,1401
20215412129,1,750000000,3,1401
20215412131,1,20000000,3,1401
20215412132,1,6000000,3,1401
20215412138,1,1048000000,3,1401
20215412141,1,28040000,3,1401
20216412529,1,327280000,3,1401
20216412536,1,104850000,3,1401
20216412538,1,50850000,3,1401
20216412541,1,104850000,3,1401
20218412926,1,93900000,3,1401
20218412935,1,834800000,3,1401
20218412938,1,217600000,3,1401
20218412941,1,1876200000,3,1401
20219413326,1,53210000,3,1401
20219413329,1,1080000000,3,1401
20219413332,1,43210000,3,1401
20219413333,1,60550000,3,1401
20219413338,1,243550000,3,1401
20219413341,1,60550000,3,1401
20220413729,1,61000000,3,1401
20220413733,1,110000000,3,1401
20220413736,1,611750000,3,1401
20220413738,1,143500000,3,1401
20220413741,1,70300000,3,1401
20221414126,1,53400000,3,1401
20221414129,1,53400000,3,1401
20221414132,1,33000000,3,1401
20221414135,1,18000000,3,1401
20221414138,1,66000000,3,1401
20221414141,1,45000000,3,1401
20221414526,1,51550000,3,1401
20221414529,1,141690000,3,1401
20221414532,1,51550000,3,1401
20221414535,1,131690000,3,1401
20221414538,1,1240670000,3,1401
20221414541,1,1256550000,3,1401
