Address,member,ISCO_w,ISIC_w,hours_w,days_w,income_w_m,income_w_y,netincome_w_m,netincome_w_y,Fasl,year
21801583038,1,4110,35200.0,8,5,101650000,1219800000,95000000,1140000000,3,1401
21801583041,1,5414,85300.0,6,5,98000000,1126000000,88000000,1056000000,3,1401
21802583426,1,9333,50120.0,6,3,130000000,1560000000,120000000,1440000000,3,1401
21802583427,1,6225,3120.0,12,3,70000000,840000000,70000000,840000000,3,1401
21802583432,3,4110,69100.0,9,6,110000000,1320000000,103000000,1236000000,3,1401
21802583432,4,2411,84110.0,9,6,95000000,1140000000,89000000,1056000000,3,1401
21802583438,1,4223,86903.0,8,6,120000000,1440000000,110000000,1320000000,3,1401
21802583438,2,2342,85101.0,5,6,40000000,480000000,40000000,480000000,3,1401
21802583830,1,6113,1300.0,7,5,86000000,1032000000,80000000,980000000,3,1401
21802583838,2,5224,47212.0,7,6,50000000,600000000,50000000,600000000,3,1401
21802584226,1,9321,10200.0,9,6,74000000,888000000,71000000,852000000,3,1401
21802584229,1,2250,72100.0,12,4,108000000,1360000000,100000000,1200000000,3,1401
21802584235,1,410,84220.0,10,5,128000000,1536000000,120000000,1440000000,3,1401
21803584638,1,6113,84110.0,8,7,90000000,1080000000,80000000,960000000,3,1401
21803584641,1,9614,84110.0,10,7,81000000,972000000,70000000,840000000,3,1401
21803585026,1,8342,42100.0,10,6,85000000,1020000000,85000000,1020000000,3,1401
21803585035,1,6113,71100.0,5,7,105000000,1260000000,100000000,1200000000,3,1401
21605568541,1,9211,1110.0,9,7,42000000,504000000,42000000,504000000,3,1401
21606568935,2,9314,41000.0,8,4,30000000,400000000,30000000,400000000,3,1401
21606568941,1,9314,41000.0,8,3,25000000,300000000,25000000,300000000,3,1401
21606569328,1,9314,41000.0,8,4,30000000,400000000,30000000,400000000,3,1401
21606569332,1,7131,43300.0,8,4,50000000,600000000,50000000,600000000,3,1401
21607569726,1,9314,41000.0,8,3,25000000,300000000,25000000,300000000,3,1401
21607569732,1,9314,41000.0,8,3,27000000,324000000,27000000,324000000,3,1401
21607570135,1,9314,41000.0,8,6,70000000,840000000,70000000,840000000,3,1401
21607570538,1,8332,42900.0,8,6,100000000,1240000000,97670000,1212040000,3,1401
21608570934,1,9314,41000.0,9,6,33000000,396000000,33000000,396000000,3,1401
21608570941,1,9314,41000.0,9,5,30000000,360000000,30000000,360000000,3,1401
21609571732,1,9314,41000.0,9,5,25000000,300000000,25000000,300000000,3,1401
21609571736,1,9314,41000.0,9,6,34000000,408000000,34000000,408000000,3,1401
21609571738,1,9212,1440.0,7,7,25000000,300000000,25000000,300000000,3,1401
21610572138,1,7111,43300.0,8,5,100000000,1200000000,100000000,1200000000,3,1401
21701572825,1,9314,41000.0,9,5,43000000,458000000,43000000,458000000,3,1401
21701572838,1,8322,46300.0,8,6,120000000,1290000000,108000000,1161000000,3,1401
21701573229,1,5245,47300.0,2,3,48000000,568000000,43200000,502000000,3,1401
21701573230,1,4226,86201.0,7,6,91000000,988000000,81900000,891000000,3,1401
21701573235,1,7126,43220.0,8,6,110000000,1216000000,110000000,1216000000,3,1401
21701573235,2,3251,86202.0,6,5,45000000,480000000,45000000,480000000,3,1401
21701573241,1,7111,43900.0,10,5,53000000,576000000,53000000,576000000,3,1401
21701573626,1,2221,86100.0,12,4,73000000,817000000,65700000,732900000,3,1401
21701573626,3,2341,85102.0,5,5,26000000,26000000,26000000,26000000,3,1401
21701573632,1,7114,43900.0,10,6,52000000,516000000,52000000,516000000,3,1401
21701574026,1,9314,41000.0,9,5,40000000,427000000,40000000,427000000,3,1401
21701574026,3,510,84230.0,8,5,42000000,168000000,42000000,168000000,3,1401
21701574029,1,9333,52100.0,10,6,40000000,430000000,40000000,430000000,3,1401
21701574032,1,1345,85210.0,5,5,106000000,1233000000,95400000,1112300000,3,1401
21701574038,1,9321,10101.0,9,6,46000000,512000000,41400000,473000000,3,1401
21701574426,1,9314,41000.0,6,3,30000000,320000000,30000000,320000000,3,1401
21701574435,1,9314,41000.0,8,6,43000000,468000000,43000000,468000000,3,1401
21701574438,1,9314,41000.0,8,4,39000000,384000000,39000000,384000000,3,1401
21701574441,4,5224,47710.0,6,5,15000000,180000000,15000000,180000000,3,1401
21701574826,1,7123,43300.0,10,5,40000000,446000000,40000000,446000000,3,1401
21701574829,3,9314,41000.0,9,6,47000000,456000000,47000000,456000000,3,1401
21701574829,4,5143,96020.0,10,6,37000000,428000000,37000000,428000000,3,1401
21702575226,1,9314,41000.0,7,5,39000000,448000000,39000000,448000000,3,1401
21702575229,1,9314,41000.0,8,5,43000000,465000000,43000000,465000000,3,1401
21803585038,2,4110,50120.0,8,7,110000000,1320000000,105000000,1260000000,3,1401
