Address,member,subsidy_number,subsidy_month,subsidy,Fasl,year
10009008128,1,1.0,12.0,1960000,1,1401
10009008128,2,2.0,12.0,10920000,1,1401
10013010635,1,1.0,12.0,1960000,1,1401
10013010635,2,2.0,12.0,10920000,1,1401
10013010626,1,1.0,12.0,1960000,1,1401
10013010626,2,2.0,12.0,10920000,1,1401
10006005522,1,1.0,12.0,1960000,1,1401
10006005522,2,1.0,12.0,5460000,1,1401
10006005532,1,1.0,12.0,1960000,1,1401
10006005532,2,2.0,12.0,10920000,1,1401
10006005523,1,1.0,12.0,1960000,1,1401
10006005523,2,1.0,12.0,5460000,1,1401
10006005530,1,1.0,12.0,1960000,1,1401
10006005530,2,1.0,12.0,5460000,1,1401
10009008121,1,3.0,12.0,16380000,1,1401
10009008123,1,1.0,12.0,1960000,1,1401
10009008123,2,2.0,12.0,10920000,1,1401
10013010632,1,1.0,12.0,1960000,1,1401
10013010632,2,4.0,12.0,21840000,1,1401
10006005535,1,1.0,12.0,1960000,1,1401
10006005535,2,1.0,12.0,5460000,1,1401
10013010627,1,1.0,12.0,1960000,1,1401
10013010627,2,2.0,12.0,10920000,1,1401
10009008135,1,1.0,12.0,1960000,1,1401
10009008135,2,3.0,12.0,16380000,1,1401
10006006322,1,1.0,12.0,1260000,1,1401
10006006322,2,2.0,12.0,10920000,1,1401
10006006321,1,1.0,12.0,1260000,1,1401
10010008922,1,1.0,12.0,1260000,1,1401
10010008922,2,2.0,12.0,10920000,1,1401
10010008923,1,1.0,12.0,1260000,1,1401
10010008929,1,1.0,12.0,1260000,1,1401
10010008929,2,1.0,12.0,5460000,1,1401
10010008929,3,1.0,3.0,1365000,1,1401
10010008935,1,3.0,12.0,16380000,1,1401
10012010120,1,1.0,12.0,1260000,1,1401
10012010120,2,3.0,12.0,16380000,1,1401
10012010123,1,1.0,12.0,1260000,1,1401
10012010123,2,2.0,12.0,10920000,1,1401
10005005128,1,3.0,12.0,16380000,1,1401
10005005128,1,1.0,12.0,1260000,1,1401
10006006332,1,1.0,12.0,1260000,1,1401
10006006332,2,1.0,12.0,5460000,1,1401
10010008932,1,6.0,12.0,32760000,1,1401
10010008926,1,1.0,12.0,1260000,1,1401
10010008926,2,3.0,12.0,16380000,1,1401
10007007722,1,1.0,12.0,1260000,1,1401
10007007722,2,4.0,12.0,21840000,1,1401
10007007723,1,1.0,12.0,1260000,1,1401
10007007725,1,1.0,12.0,1260000,1,1401
10007007725,2,3.0,12.0,16380000,1,1401
10007007732,1,1.0,12.0,1260000,1,1401
10007007732,2,3.0,12.0,16380000,1,1401
10005005126,1,1.0,12.0,5460000,1,1401
10007007730,1,1.0,12.0,1260000,1,1401
10007007730,2,3.0,12.0,16380000,1,1401
10004003826,1,1.0,12.0,1260000,1,1401
10004003826,2,5.0,12.0,27300000,1,1401
10007007735,1,1.0,12.0,1260000,1,1401
10007007735,2,3.0,12.0,16380000,1,1401
10007007735,5,1.0,8.0,3640000,1,1401
10012010129,1,2.0,12.0,10920000,1,1401
10012010129,1,1.0,12.0,1260000,1,1401
10006006330,1,3.0,12.0,16380000,1,1401
10004003823,1,1.0,12.0,1260000,1,1401
10004003823,2,2.0,12.0,10920000,1,1401
10004003829,1,1.0,12.0,1260000,1,1401
10004003829,2,3.0,12.0,16380000,1,1401
10005005124,1,4.0,12.0,21840000,1,1401
10004003822,1,1.0,12.0,1260000,1,1401
10004003822,2,3.0,12.0,16380000,1,1401
10001001120,1,3.0,12.0,16380000,1,1401
10001002425,2,4.0,12.0,21840000,1,1401
10001002430,1,3.0,12.0,16380000,1,1401
