Address,member,ISCO_w,ISIC_w,hours_w,days_w,income_w_m,income_w_y,perk_w_y,netincome_w_m,netincome_w_y,Fasl,year
10004003822,3,9314,41000,8.0,2.0,6000000,85000000,0.0,6000000,85000000,1,1401
10001001120,1,4419,64191,6.0,6.0,80000000,960000000,18000000.0,68800000,843600000,1,1401
10001002430,1,7122,41000,10.0,7.0,62000000,744000000,0.0,62000000,744000000,1,1401
10001002423,1,7131,43300,10.0,7.0,57000000,684000000,0.0,54000000,648000000,1,1401
10001002423,2,2221,86100,9.0,6.0,49000000,588000000,12000000.0,47000000,576000000,1,1401
10001002419,1,4419,84230,6.0,6.0,60000000,720000000,15000000.0,57000000,699000000,1,1401
10004003832,1,4211,64191,8.0,6.0,72000000,879000000,15000000.0,65440000,800280000,1,1401
10006006335,1,9321,29300,8.0,6.0,58000000,734000000,38000000.0,53493334,679920008,1,1401
10007007223,2,5152,97000,3.0,2.0,500000,6000000,0.0,500000,6000000,1,1401
10007007223,3,9211,1500,8.0,7.0,24000000,321000000,33000000.0,22880000,307560000,1,1401
10005005120,1,2411,10101,8.0,6.0,26000000,313500000,15000000.0,24786667,312440004,1,1401
10005005120,2,2411,10101,8.0,6.0,26000000,313500000,15000000.0,24786667,312440004,1,1401
10001001125,4,3334,68200,9.0,6.0,35000000,420000000,0.0,35000000,420000000,1,1401
10001002432,1,7225,25920,9.0,6.0,45000000,540000000,0.0,45000000,540000000,1,1401
10012010128,3,9211,1500,8.0,5.0,0,40000000,0.0,0,40000000,1,1401
10012010128,4,9211,1500,8.0,5.0,0,40000000,0.0,0,40000000,1,1401
10001000627,3,4120,71100,7.0,6.0,15000000,180000000,0.0,15000000,180000000,1,1401
10001001119,1,4110,84230,6.0,6.0,64000000,768000000,20000000.0,61000000,752000000,1,1401
10103013223,3,9314,43900,8.0,5.0,20000000,270000000,0.0,20000000,270000000,1,1401
10108020420,1,8131,22200,10.0,6.0,45000000,619000000,79000000.0,42900000,593800000,1,1401
10108020421,2,4324,47190,10.0,7.0,32000000,459000000,75000000.0,30507000,441084000,1,1401
10101011219,1,9333,96092,10.0,3.0,15000000,180000000,0.0,15000000,180000000,1,1401
10103013232,2,2341,85102,5.0,5.0,20000000,180000000,0.0,20000000,180000000,1,1401
10103013226,1,3343,49220,7.0,7.0,15000000,185000000,5000000.0,15000000,185000000,1,1401
10103013629,1,3331,50110,8.0,6.0,35000000,195000000,0.0,35000000,195000000,1,1401
10103013629,1,6225,3110,10.0,5.0,0,95000000,0.0,0,95000000,1,1401
10105016029,1,9314,43900,8.0,6.0,30000000,390000000,0.0,30000000,390000000,1,1401
10113024027,2,9211,1120,8.0,4.0,20000000,55000000,0.0,20000000,55000000,1,1401
10102012026,1,5322,97000,8.0,6.0,0,65000000,0.0,0,65000000,1,1401
10102012035,4,4211,82110,8.0,6.0,28000000,381000000,45000000.0,26700000,365400000,1,1401
10102012021,1,9314,43900,8.0,4.0,25000000,290000000,0.0,25000000,290000000,1,1401
10102012029,1,3213,47720,8.0,6.0,45000000,560000000,20000000.0,42900000,534800000,1,1401
10107019235,1,9314,43900,8.0,4.0,0,95000000,0.0,0,95000000,1,1401
10107019235,1,9214,1270,8.0,3.0,13000000,85000000,0.0,13000000,85000000,1,1401
10107019235,1,9211,1120,7.0,3.0,6000000,75000000,0.0,6000000,75000000,1,1401
10105015620,1,2423,84130,8.0,6.0,43000000,551000000,35000000.0,37920000,490040000,1,1401
