Address,member,ISCO_w,ISIC_w,hours_w,days_w,income_w_m,income_w_y,perk_w_y,netincome_w_m,netincome_w_y,Fasl,year
10004004220,1,9314,41000,8.0,1.0,2400000,55000000,0.0,2400000,55000000,1,98
10002002820,3,9211,1500,8.0,6.0,16000000,208000000,16000000.0,15925334,207104008,1,98
10002002823,3,9314,41000,8.0,2.0,4000000,44000000,0.0,4000000,44000000,1,98
10002002823,3,4412,36000,8.0,6.0,0,16000000,0.0,0,16000000,1,98
10001000211,3,7231,45200,7.0,5.0,15000000,180000000,0.0,15000000,180000000,1,98
10001000220,1,4324,46690,8.0,6.0,37000000,481000000,37000000.0,34073334,445880008,1,98
10001000223,1,9329,46690,8.0,6.0,18000000,234000000,18000000.0,17160000,223920000,1,98
10001000214,1,3135,24202,10.0,7.0,45000000,570000000,30000000.0,40400000,514800000,1,98
10006006820,1,5224,47212,8.0,7.0,7500000,90000000,0.0,7500000,90000000,1,98
10006006811,1,8143,17090,8.0,6.0,18000000,235000000,1900000.0,17160000,207820000,1,98
10009008117,3,7318,13910,8.0,6.0,0,15000000,0.0,0,15000000,1,98
10009008114,1,9314,41000,6.0,3.0,10000000,120000000,0.0,10000000,120000000,1,98
10006005520,1,7231,45200,11.0,6.0,17000000,226000000,22000000.0,16206666,216479992,1,98
10013010608,1,9314,41000,8.0,5.0,0,85000000,0.0,0,85000000,1,98
10006005518,3,9329,24202,8.0,6.0,0,10000000,0.0,0,10000000,1,98
10010009314,3,8152,1430,8.0,6.0,169333200,200000000,20000000.0,13425000,181100000,1,98
10010009314,5,7212,29300,8.0,6.0,16933200,200000000,20000000.0,13425000,181100000,1,98
10013010623,4,9314,41000,8.0,1.0,2000000,20000000,0.0,2000000,2000000,1,98
10009008120,1,9321,14100,8.0,6.0,0,150000000,0.0,0,150000000,1,98
10006006812,4,4419,93110,5.0,5.0,4000000,48000000,0.0,4000000,48000000,1,98
10013010610,1,2635,84120,8.0,6.0,8000000,80000000,0.0,8000000,80000000,1,98
10013010610,1,4414,36000,8.0,6.0,12000000,240000000,0.0,11440000,22880000,1,98
10013010610,2,2341,85102,5.0,5.0,10000000,130000000,10000000.0,9953334,129440000,1,98
10006005511,3,9329,22110,10.0,5.0,19000000,253000000,25000000.0,18113333,242359996,1,98
