Address,code,purchased,value
10004004223,94112,1,400000
10004004223,95211,1,50000
10004004223,95212,1,150000
10002002823,94111,1,210000
10001000211,95413,1,100000
10001000220,94216,1,600000
10001000220,95411,1,100000
10001000220,95413,1,40000
10001000220,95415,1,20000
10001000223,95411,1,230000
10001000214,95415,1,30000
10001000214,95425,1,180000
10006006811,94111,1,500000
10009008123,94116,1,1500000
10009008108,94111,1,240000
10009008108,94112,1,500000
10009008117,94111,1,150000
10009008114,93113,1,300000
10009008114,93114,1,1000000
10013010615,93114,1,100000
10013010615,95411,1,30000
10013010615,95415,1,60000
10013010615,95418,1,70000
10013010615,95422,1,20000
10006005518,94111,1,250000
10010009312,94112,1,250000
10001000620,95411,1,30000
10001000620,95413,1,40000
10001000620,95418,1,50000
10001001520,95411,1,200000
10003003213,91417,1,2000000
10009008512,94216,1,150000
10011009723,93211,1,180000
10001001923,91417,1,200000
10001001923,95122,1,300000
10001001923,95212,1,80000
10001001911,93312,1,180000
10001001914,93113,1,450000
10001001914,95421,1,40000
10001001916,93314,1,140000
10001001916,94216,1,180000
10001001909,95123,1,200000
10001001920,93314,1,200000
10001001920,94311,1,90000
10001001920,95211,1,40000
10005004618,95122,1,30000
10005004623,94216,1,200000
10003003220,93311,1,300000
10003003220,95122,1,25000
10005004620,94216,1,180000
10002002816,93113,1,300000
10002002816,93114,1,400000
10007007717,93117,1,300000
10007007717,95123,1,340000
10007007723,91417,1,400000
10007007723,94214,1,100000
10007007723,95116,1,100000
10007007720,94113,1,500000
10009008520,95211,1,50000
10001002413,95413,1,40000
10001002420,93113,1,450000
10012010120,94112,1,100000
10012010114,93114,1,100000
10001001123,94216,1,1500000
10001001123,95413,1,60000
10012010111,93114,1,500000
10012010115,95413,1,40000
10007007709,93111,1,400000
10007007709,93314,1,300000
10007007709,95212,1,100000
10004003817,94112,1,100000
10004003817,95211,1,20000
10004003817,95212,1,60000
10004003817,95411,1,50000
10004003817,95413,1,20000
10004003817,95418,1,20000
10012010108,94112,1,900000
10012010108,94214,1,250000
10012010108,94216,1,120000
10006006814,93311,1,20000
10006006814,93312,1,50000
10006006814,95411,1,50000
10006006814,95418,7,30000
10006006812,95411,1,100000
10006006812,95413,7,40000
10005005109,91419,1,50000
10005005109,94112,1,500000
10005005109,94216,1,400000
10005005109,95122,1,150000
10005005109,95411,1,100000
10005005109,95413,1,30000
10005005109,95435,1,400000
10007007718,93211,1,300000
10007007718,94211,1,300000
10007007718,95211,1,60000
10006005913,94111,1,1000000
10006005910,95415,1,40000
10006006314,94112,1,2000000
10005005107,93311,1,2400000
10011009720,95416,1,120000
10011009720,95418,1,30000
10011009720,95425,1,50000
