Address,member,Male_count,Female_count,age,literacy,studying,degree,occupationalst,maritalst,province,town,tenure,room,space,construction,material,vehicle,motorcycle,cookingfuel,heatingfuel,waterheatingfuel,facilities,total_cost,total_income
10001000126,2,1,1,39.0,1.0,0.0,5,4,1,22,1,4,3,69.0,2.0,4,1,0,3,2,2,7,1218760000.0,50640000.0
10001000130,1,0,1,67.0,1.0,0.0,2,1,3,22,1,4,3,65.0,2.0,4,0,0,3,2,2,5,153712000.0,822970000.0
10001000132,2,1,1,59.5,1.0,0.0,3,1,3,22,1,4,4,100.0,2.0,4,0,0,3,2,2,7,163720000.0,850790000.0
10001000135,2,1,1,64.0,1.0,0.0,2,1,1,22,1,5,4,150.0,3.0,4,1,0,3,2,2,8,137920000.0,409790000.0
10001000138,3,1,2,27.0,0.6666666666666666,0.0,5,4,1,22,1,4,4,78.0,2.0,4,1,0,3,2,2,8,653590000.0,75410000.0
10001000141,2,1,1,29.0,1.0,0.0,0,4,1,22,1,1,3,60.0,2.0,4,1,0,3,2,2,6,521830000.0,705640000.0
10001000226,4,3,1,30.25,1.0,0.5,3,3,1,22,1,5,3,100.0,1.0,4,1,0,3,2,2,9,293091000.0,291640000.0
10001000230,4,2,2,46.5,1.0,0.0,3,4,1,22,1,4,3,90.0,1.0,4,1,0,3,2,2,8,856895000.0,473140000.0
10001000232,4,3,1,41.5,1.0,0.5,0,3,1,22,1,5,5,110.0,2.0,4,1,0,3,2,2,8,677695000.0,1007640000.0
10001000235,5,2,3,28.0,1.0,0.6,9,3,2,22,1,4,5,103.0,1.0,4,1,0,3,2,2,8,326980288.0,1767700000.0
10001000238,6,3,3,35.833333333333336,0.8333333333333334,0.5,9,3,1,22,1,0,4,120.0,3.0,4,1,0,3,2,2,9,388346000.0,1885760000.0
10001000241,5,4,1,31.4,1.0,0.2,1,1,2,22,1,5,5,120.0,1.0,4,1,0,3,2,2,8,416150000.0,60000000.0
10001000326,3,2,1,23.0,0.6666666666666666,0.0,0,4,1,22,1,4,3,100.0,2.0,4,1,0,3,2,2,9,1018664000.0,38750000.0
10001000329,4,2,2,28.0,1.0,0.5,2,3,1,22,1,4,4,117.0,2.0,4,1,0,3,2,2,7,694613000.0,0.0
10001000332,3,2,1,43.66666666666666,1.0,0.0,0,1,1,22,1,4,4,100.0,1.0,4,1,0,3,2,2,8,389190000.0,1991550000.0
10001000336,2,1,1,76.5,0.5,0.0,3,1,1,22,1,4,4,200.0,3.0,4,0,0,3,2,2,9,176575000.0,1243600000.0
10001000338,1,0,1,53.0,1.0,0.0,2,1,3,22,1,5,4,110.0,1.0,4,1,0,3,2,2,8,122355000.0,679000000.0
10001000341,1,0,1,47.0,1.0,0.0,0,4,0,22,1,4,4,94.0,1.0,4,1,0,3,2,2,8,776760000.0,0.0
10001000425,3,2,1,26.0,0.6666666666666666,0.0,2,4,1,22,1,5,3,80.0,3.0,4,0,0,3,2,2,8,335070000.0,214105000.0
10001000426,5,3,2,41.4,0.8,0.2,3,0,1,22,1,4,3,80.0,3.0,4,0,0,3,2,2,9,125094000.0,740735000.0
10001000432,3,1,2,55.333333333333336,1.0,0.0,1,1,1,22,1,4,4,110.0,3.0,4,1,0,3,2,2,8,475895000.0,992105000.0
