member,Male_count,Female_count,age,literacy,studying,degree,occupationalst,maritalst
3,2,1,53.333333333333336,1,0,6,4,1
2,1,1,50.5,0,0,6,4,1
3,2,1,52.0,1,0,6,1,1
2,1,1,78.5,0,0,6,1,1
3,1,2,59.666666666666664,1,0,6,0,1
1,0,1,65.0,0,0,6,1,3
3,2,1,71.66666666666667,1,0,6,2,1
4,2,2,34.75,3,1,3,4,1
3,2,1,48.0,3,1,9,1,1
2,1,1,39.5,2,0,1,1,0
1,1,0,68.0,1,0,2,1,1
1,0,1,70.0,0,0,6,1,3
2,1,1,29.0,2,0,3,4,1
3,2,1,61.666666666666664,1,0,6,4,1
4,1,3,58.75,2,1,6,0,1
4,2,2,55.5,0,0,6,2,2
4,2,2,18.75,3,1,2,4,1
1,0,1,83.0,0,0,6,1,3
2,1,1,56.5,2,0,3,1,1
3,2,1,39.333333333333336,3,1,9,4,1
5,3,2,26.6,4,3,3,3,2
3,1,2,31.666666666666668,3,1,3,1,2
1,0,1,70.0,0,0,6,1,3
3,2,1,52.0,1,0,6,1,1
1,0,1,76.0,0,0,6,1,3
2,0,2,61.5,1,0,6,1,3
1,0,1,58.0,1,0,3,1,3
2,1,1,71.5,0,0,6,4,1
4,3,1,21.25,3,1,3,4,1
4,2,2,19.5,3,1,0,4,1
4,2,2,35.25,4,2,9,3,1
2,1,1,63.5,1,0,6,1,3
3,2,1,59.0,3,0,3,1,1
4,1,3,22.5,4,2,3,3,1
2,1,1,83.0,0,0,6,1,1
4,2,2,26.0,4,1,9,4,1
3,1,2,46.0,3,0,9,0,1
4,2,2,35.5,4,0,3,0,1
3,1,2,62.0,1,0,6,0,1
4,3,1,47.5,2,0,6,5,1
2,1,1,65.0,1,0,3,4,1
3,1,2,20.666666666666668,3,1,9,4,1
3,1,2,57.333333333333336,0,0,6,0,1
3,1,2,33.0,3,1,9,4,1
3,1,2,33.333333333333336,3,1,9,5,1
1,1,0,28.0,1,0,9,4,1
3,2,1,46.333333333333336,2,0,6,4,1
4,2,2,28.75,4,2,3,3,1
2,1,1,53.5,2,0,3,5,1
3,1,2,56.0,1,0,6,1,1
3,2,1,60.0,1,0,6,4,1
2,1,1,62.0,0,0,6,4,1
3,2,1,57.333333333333336,2,0,7,5,1
3,2,1,48.333333333333336,2,0,3,4,1
3,2,1,43.0,3,0,3,4,1
