Address,member,Male_count,Female_count,age,literacy,studying,degree,occupationalst,maritalst,province,town,tenure,room,space,construction,material,vehicle,motorcycle,cookingfuel,heatingfuel,waterheatingfuel,facilities,total_cost,total_income
20001384626,2,1,1,57.5,1.0,0.0,7,1,1,22,1,4,4,90.0,3.0,3,0,0,3,4,4,6,57147776.0,327870000.0
20001384629,3,1,2,24.33333333333333,1.0,0.3333333333333333,3,4,1,22,1,4,4,80.0,3.0,4,1,0,3,4,4,8,174655000.0,38130000.0
20001384632,3,1,2,22.0,0.6666666666666666,0.0,2,4,1,22,1,5,4,75.0,3.0,4,0,0,3,4,4,8,86453164.0,26520000.0
20001384635,1,0,1,70.0,1.0,0.0,3,1,3,22,1,4,4,70.0,3.0,4,0,0,3,4,4,7,88617388.0,379460000.0
20001384723,4,2,2,19.0,1.0,0.5,9,3,1,22,1,4,4,100.0,3.0,4,1,0,3,4,4,8,335909552.0,780280000.0
20001384724,4,1,3,24.75,1.0,0.5,3,3,1,22,1,4,4,90.0,3.0,4,0,0,3,4,4,9,242024552.0,961000000.0
20001384726,3,2,1,50.0,1.0,0.0,3,4,1,22,1,4,4,95.0,3.0,4,1,0,3,4,4,8,162122164.0,632820000.0
20001384729,5,4,1,31.2,1.0,0.0,3,4,2,22,1,4,4,85.0,3.0,4,1,0,3,4,4,9,122261940.0,44640000.0
20001384732,4,2,2,27.0,1.0,0.25,7,4,1,22,1,4,4,90.0,3.0,4,0,0,3,4,4,9,267684552.0,1306180000.0
20001384735,2,1,1,67.5,1.0,0.0,7,1,1,22,1,4,4,75.0,3.0,4,0,0,3,4,4,7,67718000.0,500450000.0
20001384819,3,1,2,55.66666666666666,0.3333333333333333,0.0,6,4,1,22,1,4,4,80.0,3.0,3,0,1,3,4,4,8,310568164.0,536120000.0
20001384824,2,1,1,67.0,1.0,0.0,3,4,1,22,1,4,4,100.0,3.0,4,1,0,3,4,4,6,300692776.0,745110000.0
20001384825,3,1,2,35.333333333333336,1.0,0.3333333333333333,3,4,1,22,1,4,3,70.0,3.0,4,1,0,3,4,4,7,893148164.0,387980000.0
20001384828,2,1,1,79.0,0.0,0.0,6,4,1,22,1,4,5,100.0,3.0,4,1,0,3,4,4,6,230043776.0,248010000.0
20001384832,2,1,1,76.0,0.5,0.0,3,4,1,22,1,4,5,70.0,3.0,7,0,0,3,4,4,6,88770000.0,122220000.0
20001384835,2,1,1,72.5,0.5,0.0,3,4,1,22,1,4,3,40.0,3.0,3,0,0,3,4,4,5,54489388.0,271210000.0
20001384919,4,3,1,23.25,1.0,0.5,3,3,1,22,1,4,3,100.0,3.0,4,1,0,3,4,4,7,143382288.0,508280000.0
20001384920,3,2,1,43.0,1.0,0.0,2,4,1,22,1,4,3,80.0,3.0,4,1,0,3,4,4,9,1069329999.0,47940000.0
20001384926,5,2,3,33.2,1.0,0.4,0,3,1,22,1,4,3,120.0,3.0,4,0,0,3,4,4,7,462670000.0,799900000.0
20001384929,2,1,1,57.0,0.0,0.0,6,4,1,22,1,4,4,70.0,3.0,4,1,0,3,4,4,9,170230000.0,96720000.0
20001384932,4,3,1,38.25,1.0,0.0,9,4,1,22,1,4,3,80.0,3.0,4,1,0,3,4,4,10,201260000.0,2506280000.0
20001384935,4,2,2,27.25,1.0,0.5,9,3,1,22,1,4,3,100.0,3.0,4,1,0,3,4,4,7,113023684.0,503480000.0
20001385020,1,1,0,80.0,1.0,0.0,3,1,3,22,1,4,3,35.0,3.0,4,0,0,3,4,4,5,27361388.0,271460000.0
20001385023,6,4,2,24.83333333333333,1.0,0.6666666666666666,3,3,2,22,1,4,4,70.0,3.0,4,1,0,3,4,4,8,348610000.0,603700000.0
20001385026,3,2,1,25.666666666666668,1.0,0.3333333333333333,3,4,1,22,1,4,4,130.0,3.0,4,1,0,3,4,4,8,225032164.0,326520000.0
20001385029,1,0,1,61.0,1.0,0.0,3,1,3,22,1,4,4,60.0,3.0,4,0,0,3,4,4,7,118533388.0,573460000.0
20001385032,4,3,1,27.5,1.0,0.5,3,3,1,22,1,4,4,75.0,3.0,4,1,0,3,4,4,9,509863000.0,36780000.0
20001385035,2,1,1,66.5,1.0,0.0,3,4,1,22,1,4,4,100.0,3.0,4,1,0,3,4,4,7,235118000.0,666260000.0
20001385119,3,2,1,20.0,0.6666666666666666,0.0,9,4,1,22,1,0,3,90.0,3.0,4,0,1,3,4,4,6,199174000.0,93420000.0
20001385120,4,3,1,32.0,1.0,0.25,3,4,1,22,1,4,4,110.0,3.0,4,0,1,3,4,4,9,124867552.0,361280000.0
20001385127,1,0,1,60.0,0.0,0.0,6,1,3,22,1,4,3,60.0,3.0,3,0,0,3,4,4,2,10324388.0,98060000.0
20001385129,3,1,2,26.666666666666668,1.0,0.3333333333333333,3,1,1,22,1,4,3,100.0,3.0,7,0,0,3,4,4,5,20023164.0,64740000.0
20001385132,4,3,1,29.25,1.0,0.25,3,4,1,22,1,4,3,50.0,3.0,4,0,1,3,4,4,5,51982552.0,50000000.0
20001385135,5,3,2,23.2,0.6,0.4,6,3,2,22,1,4,3,85.0,3.0,4,0,1,3,4,4,8,120076940.0,285050000.0
20001385220,4,1,3,29.25,1.0,0.25,3,4,1,22,1,4,3,80.0,3.0,1,0,1,3,4,4,5,164225000.0,75180000.0
20001385222,5,2,3,32.2,1.0,0.4,3,4,2,22,1,4,4,120.0,3.0,4,1,1,3,4,4,9,401210000.0,354350000.0
20001385226,4,2,2,33.5,1.0,0.5,3,3,1,22,1,4,3,80.0,3.0,0,0,1,3,4,4,7,99187552.0,279840000.0
20001385229,3,2,1,38.333333333333336,1.0,0.0,3,4,1,22,1,4,3,80.0,3.0,3,1,0,3,4,4,8,144020000.0,633740000.0
20001385232,5,1,4,21.8,0.8,0.4,3,3,2,22,1,4,3,70.0,3.0,1,1,0,3,4,4,6,377905000.0,1814550000.0
20001385235,4,1,3,24.75,0.75,0.25,3,4,1,22,1,0,3,55.0,3.0,1,0,0,3,4,4,8,50824552.0,51100000.0
20001385321,4,2,2,32.25,1.0,0.5,9,3,1,22,1,4,4,120.0,3.0,4,0,1,3,4,4,7,404002552.0,1714760000.0
20001385323,5,2,3,38.2,0.8,0.0,3,0,2,22,1,4,4,170.0,3.0,4,1,1,3,4,4,10,369266000.0,993100000.0
20001385326,4,3,1,30.0,1.0,0.25,3,6,1,22,1,4,3,50.0,3.0,4,0,1,3,4,4,8,89962552.0,54560000.0
20001385329,2,1,1,80.5,0.0,0.0,6,1,1,22,1,4,2,30.0,3.0,3,0,0,3,4,4,7,39110000.0,115920000.0
20001385332,4,1,3,38.0,0.75,0.0,2,4,1,22,1,4,3,100.0,3.0,4,1,1,3,4,4,10,312116552.0,1399000000.0
20001385335,4,2,2,19.75,0.75,0.25,2,4,1,22,1,5,3,85.0,3.0,4,1,0,3,4,4,6,50232552.0,110000000.0
20001385421,3,1,2,22.33333333333333,0.6666666666666666,0.0,9,4,1,22,1,0,3,100.0,3.0,4,1,0,3,4,4,8,448668000.0,812840000.0
20001385424,2,1,1,58.0,0.5,0.0,3,1,1,22,1,4,3,120.0,3.0,4,0,0,3,4,4,7,260890000.0,377280000.0
20001385429,4,1,3,21.5,0.75,0.0,2,5,1,22,1,4,4,113.0,3.0,4,1,0,3,4,4,8,30108552.0,540740000.0
20001385430,2,1,1,63.5,1.0,0.0,3,1,1,22,1,4,3,80.0,3.0,4,1,0,3,4,4,8,176430000.0,310280000.0
20001385432,4,1,3,30.5,1.0,0.25,3,2,1,22,1,4,4,100.0,3.0,4,1,0,3,4,4,10,198900000.0,53450000.0
20001385435,2,1,1,65.0,1.0,0.0,9,1,1,22,1,4,4,100.0,3.0,4,0,1,3,4,4,9,330309000.0,398220000.0
20001385521,7,2,5,29.714285714285715,0.7142857142857143,0.4285714285714285,7,3,2,22,1,4,4,100.0,3.0,4,1,0,3,4,4,8,209926716.0,294920000.0
20001385523,3,2,1,42.333333333333336,1.0,0.3333333333333333,3,4,1,22,1,4,4,120.0,3.0,4,1,0,3,4,4,8,269786684.0,499080000.0
20001385526,3,1,2,28.33333333333333,1.0,0.3333333333333333,3,4,1,22,1,0,4,90.0,3.0,4,1,0,3,4,4,9,434699000.0,29080000.0
20001385529,2,1,1,58.5,1.0,0.0,2,4,1,22,1,4,4,100.0,3.0,4,1,0,3,4,4,8,247661776.0,762420000.0
20001385532,4,2,2,14.0,0.5,0.0,6,5,1,22,1,4,4,100.0,3.0,4,1,0,3,4,4,8,495561000.0,39740000.0
20001385535,3,2,1,32.333333333333336,1.0,0.3333333333333333,3,4,1,22,1,4,4,80.0,3.0,4,1,0,3,4,4,8,479131000.0,229080000.0
20001385620,2,1,1,67.5,1.0,0.0,3,1,1,22,1,4,4,120.0,3.0,4,1,1,3,4,4,7,382060000.0,757080000.0
20001385624,3,2,1,33.666666666666664,1.0,0.3333333333333333,3,4,1,22,1,4,3,100.0,3.0,4,1,1,3,4,4,9,468845000.0,39180000.0
20001385626,2,1,1,41.0,1.0,0.0,3,4,1,22,1,4,3,75.0,3.0,4,0,0,3,4,4,8,103885776.0,41080000.0
20001385630,2,1,1,58.0,1.0,0.0,3,1,1,22,1,4,4,100.0,3.0,4,0,1,3,4,4,7,92750000.0,468280000.0
