Address,member,Male_count,Female_count,age,literacy,studying,degree,occupationalst,maritalst,province,town,tenure,room,space,construction,material,vehicle,motorcycle,cookingfuel,heatingfuel,waterheatingfuel,facilities,total_cost,total_income
20001383908,4,3,1,17.75,0.75,0.25,1,4,1,22,1,4,3,100.0,3,4,0,1,3,3,4,7,95508552.0,363840000.0
20001383911,2,1,1,69.0,0.5,0.0,3,1,1,22,1,4,3,70.0,3,7,0,0,3,3,4,5,51716200.0,53920000.0
20001383915,2,1,1,60.5,1.0,0.0,3,4,1,22,1,4,3,100.0,3,4,1,0,3,3,4,8,37746776.0,225420000.0
20001383916,4,1,3,23.5,1.0,0.5,3,3,1,22,1,4,4,100.0,3,4,1,0,3,3,4,7,107005300.0,21840000.0
20001383920,5,4,1,16.4,0.6,0.2,9,5,2,22,1,4,3,100.0,3,4,0,0,3,3,4,8,30021440.0,27300000.0
20001383923,4,2,2,31.75,1.0,0.25,3,4,1,22,1,4,3,70.0,3,4,0,1,3,3,4,7,31447552.0,21840000.0
20001384008,4,3,1,23.25,1.0,0.5,3,3,1,22,1,4,2,60.0,3,3,1,0,3,3,4,4,38207552.0,51840000.0
20001384011,3,1,2,44.66666666666666,0.3333333333333333,0.0,6,0,1,22,1,4,3,65.0,3,7,0,0,3,3,4,4,30487000.0,16380000.0
20001384014,2,1,1,64.0,0.5,0.0,3,4,1,22,1,4,4,90.0,3,3,1,0,3,3,4,6,67508776.0,108920000.0
20001384015,4,2,2,20.5,0.75,0.25,3,4,1,22,1,0,3,30.0,3,7,0,0,3,3,4,5,23975552.0,26840000.0
20001384020,4,3,1,27.75,1.0,0.25,3,4,1,22,1,0,2,50.0,3,7,0,0,3,3,4,5,206562552.0,55040000.0
20001384023,2,1,1,64.0,0.5,0.0,3,4,1,22,1,4,3,70.0,3,7,0,0,3,3,4,3,8811776.0,142020000.0
20001384109,4,3,1,16.0,0.5,0.0,6,5,1,22,1,4,4,80.0,3,4,0,1,3,3,4,8,160276000.0,58315000.0
20001384111,4,2,2,20.25,0.5,0.25,6,4,1,22,1,4,3,60.0,3,7,0,1,3,3,4,6,55507552.0,39840000.0
20001384113,2,1,1,73.5,0.0,0.0,6,4,1,22,1,4,2,40.0,3,1,0,1,3,3,4,5,215676776.0,431920000.0
