Address,total_income
20001383908,363840000.0
20001383911,53920000.0
20001383915,225420000.0
20001383916,21840000.0
20001383920,27300000.0
20001383923,21840000.0
20001384008,51840000.0
20001384011,16380000.0
20001384014,108920000.0
20001384015,26840000.0
20001384020,55040000.0
20001384023,142020000.0
20001384109,58315000.0
20001384111,39840000.0
20001384113,431920000.0
20001384117,17760000.0
20001384120,303380000.0
20001384123,108990000.0
20001384207,282380000.0
20001384208,379920000.0
20001384214,153460000.0
20001384215,161340000.0
20001384220,16380000.0
20001384223,21840000.0
20001384308,485920000.0
20001384311,179380000.0
20001384316,623480000.0
20001384317,209100000.0
20001384320,120120000.0
20001384323,121840000.0
20001384408,305540000.0
20001384410,59350000.0
20001384413,250920000.0
20001384414,147300000.0
20001384420,262470000.0
20001384423,193640000.0
20001384507,39460000.0
20001384508,207090000.0
20001384514,27300000.0
20001384517,157090000.0
20001384520,267090000.0
20001384523,321840000.0
20001384608,320180000.0
20001384609,300920000.0
20001384616,671060000.0
20001384617,359220000.0
20001384620,376800000.0
20001384623,49920000.0
20001384708,40920000.0
20001384711,137840000.0
20001384716,101680000.0
20001384718,76380000.0
20001384720,21840000.0
20001384723,162380000.0
20001384809,37910000.0
20001384811,247730000.0
20001384814,23640000.0
20001384817,162820000.0
20001384820,186820000.0
20001384823,190920000.0
20001384908,300280000.0
20001384909,356940000.0
20001384914,337300000.0
20001384917,376940000.0
20001384920,345280000.0
20001384923,306940000.0
20001385007,168300000.0
20001385009,216760000.0
20001385014,415840000.0
20001385018,245380000.0
20001385020,316460000.0
20001385023,188580000.0
20001385107,57180000.0
20001385108,558240000.0
20001385114,508840000.0
20001385115,95380000.0
20001385120,125840000.0
20001385123,60920000.0
20001385207,117280000.0
20001385209,138120000.0
20001385213,111840000.0
20001385214,140920000.0
20001385220,131720000.0
20001385223,171320000.0
20001385308,60570000.0
20001385311,89120000.0
20001385314,25280000.0
20001385317,206070000.0
20001385320,1061940000.0
20001385323,30020000.0
20001385408,190920000.0
20001385412,46440000.0
20001385415,165920000.0
20001385417,218380000.0
20001385420,135460000.0
20001385423,234920000.0
20001385508,204380000.0
20001385511,396380000.0
20001385515,60920000.0
20001385517,21840000.0
20001385520,38220000.0
20001385523,626380000.0
20001385607,135460000.0
20001385608,16380000.0
20001385616,21840000.0
20001385617,250920000.0
20001385620,350920000.0
20001385623,16380000.0
20001385707,32145000.0
20001385711,44780000.0
20001385716,21840000.0
20001385717,29440000.0
20001385720,302380000.0
20001385723,413980000.0
20002385808,65460000.0
20002385811,188720000.0
20002385814,25440000.0
20002385817,366420000.0
20002385820,445920000.0
20002385823,55980000.0
20002385909,72880000.0
20002385911,360460000.0
20002385915,23460000.0
20002385916,141760000.0
20002385920,184280000.0
20002385923,41960000.0
20002386008,94920000.0
20002386011,229970000.0
20002386015,327750000.0
20002386020,310380000.0
20002386023,305900000.0
20002386108,117900000.0
20002386111,32760000.0
20002386115,223860000.0
20002386117,257380000.0
20002386120,1009000000.0
20002386123,86900000.0
20002386211,151720000.0
20002386212,173460000.0
20002386213,171480000.0
20002386216,98420000.0
20002386220,297480000.0
20002386223,170920000.0
20002386310,22920000.0
20002386311,165420000.0
20002386313,643720000.0
20002386314,37560000.0
20002386320,45300000.0
20002386323,26860000.0
20002386407,18200000.0
20002386408,27300000.0
20002386414,53240000.0
20002386417,71890000.0
20002386420,44840000.0
20002386423,210920000.0
20003386508,171240000.0
20003386511,378820000.0
20003386514,123460000.0
20003386516,308920000.0
20003386520,106130000.0
20003386523,41560000.0
20003386609,139380000.0
20003386610,30920000.0
20003386613,27460000.0
20003386614,156720000.0
20003386620,114420000.0
20003386707,49920000.0
20003386708,160920000.0
20003386713,240000000.0
20003386715,70920000.0
20003386720,190920000.0
20003386723,190920000.0
20003386807,190920000.0
20003386811,54920000.0
20003386814,124320000.0
20003386816,300920000.0
20003386820,340220000.0
20003386823,36860000.0
20003386909,269460000.0
20003386912,58920000.0
20003386914,59000000.0
20003386917,473480000.0
20003386920,16380000.0
20003386923,164420000.0
20003387007,83980000.0
20003387008,188820000.0
20003387014,54820000.0
20003387017,106920000.0
20003387020,298380000.0
20003387023,346380000.0
20003387108,126980000.0
20003387111,156420000.0
20003387113,286920000.0
20003387116,28920000.0
20003387120,164880000.0
20003387123,60920000.0
20004387209,93300000.0
20004387211,243340000.0
20004387214,51380000.0
20004387215,204080000.0
20004387220,167920000.0
20004387223,17760000.0
20004387307,106540000.0
20004387308,45120000.0
20004387314,145840000.0
20004387317,134380000.0
20004387320,186920000.0
20004387323,607550000.0
20004387408,208540000.0
20004387411,68620000.0
20004387414,128140000.0
20004387417,51260000.0
20004387420,124740000.0
20004387423,197140000.0
20004387510,187560000.0
20004387511,30380000.0
20004387513,23920000.0
20004387514,56880000.0
20004387520,62120000.0
20004387523,256380000.0
20004387607,585620000.0
20004387608,50780000.0
20004387614,45195000.0
20004387617,92120000.0
20004387620,27300000.0
20004387623,244740000.0
20004387708,205240000.0
20004387710,283560000.0
20004387713,2214840000.0
20004387714,454380000.0
20004387720,105270000.0
20004387723,225920000.0
20004387809,162300000.0
20004387811,91520000.0
20004387813,10920000.0
20004387817,21840000.0
20004387820,22920000.0
20004387823,130920000.0
20004387910,16380000.0
20004387912,464800000.0
20004387913,77740000.0
20004387918,155920000.0
20004387920,53380000.0
20004387923,57860000.0
20004388009,59460000.0
20004388011,112520000.0
20004388014,16380000.0
20004388018,234680000.0
20004388020,239380000.0
20004388023,125820000.0
20004388107,182450000.0
20004388109,66950000.0
20004388113,92000000.0
20004388114,91950000.0
20004388120,250920000.0
20004388123,214830000.0
20004388208,442420000.0
20004388211,76920000.0
20004388214,69920000.0
20004388217,50920000.0
20004388220,354300000.0
20004388223,53960000.0
20004388308,23120000.0
20004388311,80520000.0
20004388314,414380000.0
20004388317,306380000.0
20004388320,22500000.0
20004388323,28460000.0
20004388408,65460000.0
20004388411,139640000.0
20004388413,642560000.0
20004388418,17750000.0
20004388420,27460000.0
20004388423,48460000.0
20004388508,128970000.0
20004388509,21840000.0
20004388513,437330000.0
20004388514,160340000.0
20004388520,241750000.0
20004388523,148460000.0
20005388609,437300000.0
20005388610,264660000.0
20005388614,68760000.0
20005388616,40840000.0
20005388620,452840000.0
20005388623,23240000.0
20005388708,0.0
20005388712,12370000.0
20005388715,120000000.0
20005388716,65460000.0
20005388720,59460000.0
20005388723,49060000.0
20005388808,293960000.0
20005388811,981340000.0
20005388815,564700000.0
20005388818,924560000.0
20005388820,581900000.0
20005388823,469280000.0
20005388912,224920000.0
20005388915,43570000.0
20005388917,119990000.0
20005388920,347980000.0
20005389008,54920000.0
20005389011,163180000.0
20005389014,167160000.0
20005389018,50780000.0
20005389020,25460000.0
20005389023,74460000.0
20005389110,82380000.0
20005389111,278180000.0
20005389114,28460000.0
20005389117,35860000.0
20005389120,55720000.0
20005389123,371580000.0
20005389208,155880000.0
20005389210,84300000.0
20005389213,302380000.0
20005389214,188920000.0
20005389220,45460000.0
20005389223,81980000.0
20006389311,481980000.0
20006389312,286630000.0
20006389316,21840000.0
20006389320,401940000.0
20006389323,474570000.0
20006389411,281840000.0
20006389412,24790000.0
20006389414,41040000.0
20006389416,21840000.0
20006389420,17980000.0
20006389423,21840000.0
20006389508,24000000.0
20006389511,14000000.0
20006389514,48000000.0
20006389517,36000000.0
20006389520,50000000.0
20006389523,30000000.0
20006389607,23560000.0
20006389608,17880000.0
20006389616,16380000.0
20006389618,21840000.0
20006389620,0.0
20006389623,10920000.0
20006389710,31720000.0
20006389711,32900000.0
20006389717,0.0
20006389718,24900000.0
20006389720,20640000.0
20006389723,232380000.0
20006389808,157780000.0
20006389812,128780000.0
20006389814,731500000.0
20006389817,501840000.0
20006389820,315840000.0
20006389823,27300000.0
20006389909,23940000.0
20006389911,5460000.0
20006389914,22540000.0
20006389916,21840000.0
20006389920,148340000.0
20006389923,518840000.0
20006390008,188840000.0
20006390009,63920000.0
20006390017,366380000.0
20006390018,118380000.0
20006390020,372760000.0
20006390023,166300000.0
20006390110,325280000.0
20006390111,177300000.0
20006390113,94920000.0
20006390118,36380000.0
20006390120,181400000.0
