Address,member,Male_count,Female_count,age,literacy,studying,degree,occupationalst,maritalst
20001383916,4,1,3,23.75,4,2,3,3,1
20001383917,4,2,2,20.0,3,1,3,4,1
20001383919,5,4,1,19.6,3,1,9,5,2
20001383923,4,2,2,31.0,4,1,3,4,1
20001383926,4,2,2,17.5,2,0,6,5,1
20001383929,2,1,1,26.5,2,0,9,4,1
20001384014,4,2,2,44.5,4,0,3,4,1
20001384015,4,2,2,21.75,3,1,3,4,1
20001384021,3,2,1,44.333333333333336,3,1,3,4,1
20001384022,4,3,1,29.0,4,1,9,4,1
20001384026,2,1,1,62.5,0,0,6,4,1
20001384029,5,2,3,17.8,3,1,3,5,2
20001384114,2,1,1,72.5,0,0,6,1,1
20001384115,3,1,2,19.0,2,0,9,5,1
20001384121,4,3,1,17.25,3,1,9,4,1
20001384123,3,1,2,41.333333333333336,3,1,3,4,1
20001384126,5,3,2,28.8,5,1,3,4,1
20001384129,4,3,1,38.75,3,1,3,4,1
20001384214,1,0,1,78.0,1,0,3,0,3
20001384215,4,2,2,26.25,3,0,2,0,1
20001384220,3,1,2,21.333333333333332,2,0,2,4,1
20001384223,4,3,1,26.25,4,2,9,3,1
20001384226,3,2,1,32.0,3,1,4,4,1
20001384229,2,1,1,59.0,2,0,7,1,1
20001384316,2,1,1,69.0,1,0,3,4,1
20001384317,4,3,1,25.0,4,2,3,4,1
20001384323,3,1,2,19.0,2,0,9,4,1
20001384324,3,2,1,38.0,3,1,9,4,1
20001384326,1,0,1,75.0,1,0,7,0,3
20001384329,4,3,1,25.0,4,2,9,3,1
20001384417,1,0,1,52.0,1,0,3,4,3
20001384418,5,2,3,19.4,4,2,3,3,2
20001384420,2,1,1,65.5,1,0,7,4,1
20001384423,4,2,2,46.25,3,0,2,4,1
20001384426,4,1,3,21.5,3,1,2,4,1
20001384429,5,3,2,20.0,4,2,3,3,2
20001384514,3,2,1,45.0,3,0,3,4,1
20001384517,4,2,2,27.75,4,2,3,3,1
20001384520,2,1,1,34.0,2,1,2,1,3
20001384523,4,1,3,32.75,4,1,7,0,1
20001384526,1,0,1,58.0,1,0,7,0,3
20001384529,2,1,1,53.5,1,0,2,4,2
20001384613,2,1,1,60.0,1,0,3,4,1
20001384616,4,3,1,36.75,4,1,3,4,1
20001384620,4,2,2,25.25,4,2,3,3,1
20001384622,1,0,1,79.0,1,0,3,0,3
20001384626,2,1,1,56.5,2,0,7,1,1
20001384629,3,1,2,23.333333333333332,2,0,3,4,1
20001384713,3,2,1,33.666666666666664,3,1,3,4,1
20001384718,4,3,1,34.75,4,0,7,4,1
20001384719,4,2,2,28.5,4,2,3,3,1
20001384724,4,3,1,14.0,2,0,6,5,1
20001384726,4,2,2,19.5,3,1,3,4,1
20001384729,5,4,1,30.8,5,1,9,4,2
20001384814,3,2,1,23.0,3,1,9,4,1
20001384817,3,1,2,45.333333333333336,3,0,3,0,1
20001384819,3,1,2,55.0,1,0,6,0,1
20001384824,1,1,0,47.0,1,0,9,4,0
20001384826,3,2,1,45.666666666666664,3,0,3,4,1
20001384829,2,1,1,78.5,0,0,6,4,1
20001384914,4,2,2,40.75,4,1,3,4,1
20001384917,5,3,2,17.8,4,2,3,3,2
20001384920,3,2,1,22.0,2,0,2,4,1
20001384923,4,3,1,22.25,4,2,3,3,1
20001384926,2,1,1,49.0,2,0,3,4,1
20001384929,4,2,2,42.75,4,1,2,4,1
20001385016,3,2,1,39.333333333333336,3,1,0,4,1
20001385018,3,2,1,31.0,2,0,9,4,1
20001385020,1,1,0,79.0,1,0,7,0,3
20001385023,4,2,2,39.75,4,2,9,3,1
20001385026,3,2,1,24.0,3,1,9,4,1
20001385029,4,3,1,35.75,4,0,4,4,2
20001385114,3,2,1,20.0,2,0,3,4,1
20001385115,4,1,3,23.75,3,1,3,4,1
20001385120,2,1,1,44.0,0,0,6,4,1
20001385123,4,3,1,41.0,3,0,3,1,1
20001385126,5,3,2,22.6,4,2,3,3,2
