Address,tenure,room,space,construction,material,vehicle,motorcycle,cookingfuel,heatingfuel,waterheatingfuel,facilities
20933503032,4,3,100.0,3.0,4,1,1,3,3,4,8
20933503038,4,3,95.0,3.0,4,0,0,3,3,4,8
20934503826,4,2,45.0,3.0,4,0,0,3,3,4,7
20934503829,4,4,100.0,3.0,4,0,1,3,3,4,7
20934503834,4,3,85.0,3.0,4,0,0,3,3,4,8
20934503835,4,3,85.0,3.0,4,0,1,3,3,4,6
20934503838,4,4,100.0,3.0,4,0,0,3,3,4,5
20934503841,4,4,100.0,3.0,4,1,1,3,3,4,10
20935502626,4,4,100.0,1.0,4,1,0,3,3,4,5
20935502627,4,4,110.0,2.0,4,1,0,3,3,4,7
20935502632,4,3,80.0,3.0,4,1,1,3,3,4,3
20935502635,4,3,75.0,3.0,4,1,0,3,3,4,5
20935502638,4,3,85.0,1.0,4,1,0,3,3,4,5
20935502641,4,4,100.0,3.0,4,0,1,3,3,4,6
20936504227,4,3,120.0,3.0,4,1,0,3,3,4,9
20936504232,4,4,130.0,3.0,4,0,0,3,3,4,8
20936504235,4,5,200.0,3.0,4,0,1,3,3,4,8
20936504238,4,4,110.0,3.0,4,1,1,3,3,4,9
20936504241,0,4,100.0,3.0,4,0,0,3,3,4,7
20938503425,4,3,70.0,3.0,0,0,0,3,3,4,2
20938503430,4,2,60.0,3.0,1,0,0,3,3,4,2
20938503433,4,2,72.0,3.0,4,0,0,3,3,4,7
20938503436,4,2,70.0,3.0,4,1,1,3,3,4,7
20938503438,4,2,70.0,3.0,4,0,0,3,3,4,2
20938503441,4,2,45.0,3.0,4,1,0,3,3,4,4
21001514226,4,4,95.0,3.0,4,0,1,3,3,4,9
21001514232,4,4,105.0,3.0,4,1,0,3,3,4,9
21001514233,4,5,120.0,3.0,4,0,0,3,3,4,8
21001514238,4,5,150.0,3.0,4,1,0,3,3,4,9
21001514241,4,5,120.0,3.0,4,0,1,3,3,4,9
21002504626,4,3,80.0,3.0,3,0,0,3,3,4,4
21002504630,4,4,120.0,3.0,4,1,0,3,3,4,7
21002504632,4,3,120.0,3.0,4,1,0,3,3,4,8
21002504638,4,6,180.0,3.0,4,0,0,3,3,4,6
21002504641,0,4,75.0,3.0,4,1,1,3,3,4,5
21002505026,4,4,120.0,2.0,4,1,0,3,3,4,7
21002505029,4,4,100.0,3.0,4,0,1,3,3,4,9
21002505032,4,5,120.0,2.0,4,1,0,3,3,4,10
21002505035,4,3,75.0,2.0,4,1,0,3,3,4,9
21002505038,4,4,50.0,3.0,3,1,0,3,3,4,6
21002505041,4,5,140.0,3.0,4,1,0,3,3,4,10
21002505426,4,3,110.0,3.0,4,0,1,3,3,4,6
21002505429,4,3,100.0,3.0,3,0,0,3,3,4,5
21002505432,4,4,120.0,3.0,4,0,0,3,3,4,8
21002505436,4,3,110.0,3.0,4,1,0,3,3,4,8
21002505438,4,4,130.0,3.0,3,1,1,3,3,4,6
21002505441,4,4,120.0,3.0,3,0,0,3,3,4,7
21005506225,4,4,120.0,3.0,5,0,1,3,3,4,6
21005506226,4,5,140.0,3.0,5,1,0,3,3,4,7
21005506232,4,4,90.0,3.0,5,1,0,3,3,4,6
21005506238,4,2,60.0,3.0,1,0,0,3,3,4,3
21005506241,4,4,100.0,3.0,5,0,1,3,3,4,5
21006515426,4,3,80.0,3.0,3,0,0,3,3,4,5
21006515428,4,4,105.0,2.0,4,0,1,3,3,4,7
21006515435,4,5,110.0,3.0,4,1,0,3,3,4,4
21006515438,4,4,110.0,3.0,4,0,1,3,3,4,10
21006515441,4,5,140.0,3.0,4,0,0,3,3,4,6
21007513426,4,4,95.0,3.0,1,1,0,3,3,4,7
21007513428,4,3,80.0,3.0,4,1,0,3,3,4,9
21007513432,4,3,72.0,3.0,1,1,0,3,3,4,5
21007513433,4,4,100.0,2.0,4,1,0,3,3,4,8
21007513438,0,4,75.0,3.0,4,1,0,3,3,4,8
21007513441,4,4,120.0,3.0,2,0,1,3,3,4,8
21008507027,4,3,80.0,3.0,1,0,0,3,3,4,5
21008507029,4,4,100.0,3.0,4,1,0,3,3,4,9
21008507032,4,4,120.0,3.0,4,1,0,3,3,4,8
21008507035,4,4,150.0,3.0,5,1,1,3,3,4,9
21008507038,4,4,120.0,3.0,4,0,1,3,3,4,8
21008507041,0,1,20.0,3.0,3,0,0,3,3,4,2
21008507427,4,4,100.0,3.0,2,1,0,3,3,4,9
21008507429,4,4,160.0,2.0,4,1,0,3,3,4,9
21008507432,4,5,150.0,2.0,4,1,0,3,3,4,11
21008507434,5,3,50.0,2.0,4,1,0,3,3,4,7
21008507438,4,3,60.0,3.0,2,1,0,3,3,4,7
21008507441,4,5,100.0,3.0,4,1,0,3,3,4,8
21008507826,4,4,100.0,3.0,5,1,0,3,3,4,9
21008507829,1,3,80.0,3.0,4,0,0,3,3,4,9
21008507833,4,5,150.0,3.0,4,1,0,3,3,4,7
21008507838,5,3,100.0,3.0,4,1,0,3,3,4,8
21008507841,4,4,120.0,3.0,4,0,1,3,3,4,7
21009508225,6,4,100.0,3.0,2,1,0,3,3,4,8
21009508228,6,4,100.0,3.0,2,1,1,3,3,4,8
21009508232,6,4,100.0,3.0,2,1,0,3,3,4,8
21009508235,6,4,100.0,3.0,2,1,0,3,3,4,6
21009508238,6,4,100.0,3.0,2,1,0,3,3,4,6
21009508241,6,4,100.0,3.0,2,1,0,3,3,4,9
21010508625,0,3,60.0,3.0,4,1,0,3,3,4,7
21010508626,0,4,80.0,2.0,4,1,0,3,3,4,9
21010508632,4,3,60.0,3.0,4,0,0,3,3,4,4
21010508633,4,4,90.0,2.0,4,1,0,3,3,4,9
21010508638,4,6,130.0,3.0,4,1,0,3,3,4,7
21010508641,4,4,75.0,3.0,4,1,0,3,3,4,8
21010509026,4,4,110.0,3.0,1,0,0,3,3,4,7
21010509028,4,3,80.0,3.0,4,0,0,3,3,4,6
21010509034,0,3,75.0,3.0,4,1,0,3,3,4,6
21010509035,0,4,90.0,3.0,4,1,0,3,3,4,7
21010509038,4,3,50.0,3.0,4,1,0,3,3,4,5
21010509041,4,4,85.0,3.0,4,1,0,3,3,4,6
21011509425,4,3,120.0,3.0,4,0,1,3,3,4,7
21011509426,4,4,120.0,3.0,4,1,1,3,3,4,7
21011509432,4,3,100.0,3.0,4,0,1,3,3,4,7
21011509435,4,3,140.0,3.0,4,0,1,3,3,4,7
21011509438,4,4,90.0,3.0,4,0,0,3,3,4,6
21011509441,0,3,70.0,3.0,1,1,1,3,3,4,9
21012509826,4,4,110.0,3.0,3,0,0,3,3,4,8
21012509830,4,4,130.0,3.0,4,0,1,3,3,4,8
21012509832,0,3,98.0,3.0,4,0,0,3,3,4,8
21012509833,4,5,142.0,3.0,4,1,0,3,3,4,8
21012509838,4,5,135.0,3.0,3,1,1,3,3,4,9
21012509841,4,4,138.0,3.0,4,1,0,3,3,4,8
21012510226,4,4,120.0,3.0,4,1,0,3,3,4,9
21012510229,0,3,100.0,3.0,4,1,0,3,3,4,9
21012510234,4,3,120.0,3.0,4,0,0,3,3,4,7
21012510235,4,4,128.0,3.0,4,1,0,3,3,4,9
21012510238,4,4,130.0,3.0,4,0,0,3,3,4,7
21012510241,4,5,150.0,3.0,3,0,0,3,3,4,9
21013514626,4,4,110.0,3.0,5,0,1,3,3,4,6
21013514629,4,5,120.0,3.0,3,0,0,3,3,4,9
21013514631,4,6,150.0,3.0,4,0,1,3,3,4,5
21013514638,4,5,180.0,3.0,4,1,0,3,3,4,5
21013514641,4,3,60.0,3.0,5,0,0,3,3,4,7
21014510627,4,5,200.0,3.0,4,0,0,3,3,4,7
21014510632,4,5,20.0,3.0,5,0,0,3,3,4,6
21014510635,4,4,50.0,3.0,2,0,1,3,3,4,7
21014510638,4,4,96.0,3.0,2,0,1,3,3,4,10
21014510641,4,4,140.0,3.0,2,1,0,3,3,4,8
21014511025,4,4,120.0,3.0,4,0,1,3,3,4,9
21014511030,4,5,135.0,3.0,4,0,0,3,3,4,9
21014511031,4,3,112.0,3.0,4,1,0,3,3,4,9
21014511035,1,4,120.0,3.0,4,0,0,3,3,4,9
21014511038,4,5,136.0,3.0,4,1,0,3,3,4,9
21014511041,4,4,124.0,3.0,4,1,0,3,3,4,7
21015511825,4,3,65.0,3.0,0,0,0,3,3,4,5
21015511828,4,3,75.0,3.0,4,0,0,3,3,4,4
21015511836,4,2,45.0,3.0,4,0,0,3,3,4,4
21016505828,4,4,100.0,3.0,4,0,0,3,3,4,9
21016505830,4,3,90.0,3.0,7,1,0,3,3,4,8
21016505832,4,4,105.0,3.0,3,1,0,3,3,4,7
21016505835,4,4,100.0,3.0,3,0,1,3,3,4,8
21016505838,4,6,130.0,3.0,4,1,0,3,3,4,9
21016505841,4,5,120.0,3.0,7,1,1,3,3,4,8
21017511426,0,3,118.0,3.0,3,0,0,3,3,4,8
21017511427,4,3,110.0,3.0,4,0,0,3,3,4,8
21017511431,4,4,120.0,3.0,4,0,0,3,3,4,9
21017511433,4,5,138.0,3.0,4,0,1,3,3,4,9
21017511438,4,4,125.0,3.0,4,1,0,3,3,4,9
21017511441,4,4,126.0,3.0,4,1,0,3,3,4,9
21018512227,4,4,130.0,3.0,4,1,0,3,3,4,8
21018512229,0,4,70.0,3.0,1,1,0,3,3,4,5
21018512232,4,4,80.0,3.0,4,0,1,3,3,4,6
21018512235,4,5,150.0,3.0,4,0,1,3,3,4,7
21018512238,4,4,120.0,3.0,4,1,0,3,3,4,7
21018512241,4,5,110.0,3.0,4,0,1,3,3,4,7
21019512626,4,3,88.0,3.0,4,1,0,3,3,4,10
21019512629,4,3,90.0,3.0,3,0,0,3,3,4,6
21019512633,0,2,65.0,3.0,4,0,1,3,3,4,8
21019512635,4,4,90.0,3.0,4,0,1,3,3,4,7
21019512638,4,3,80.0,3.0,3,0,0,3,3,4,7
21019512641,4,4,120.0,3.0,4,1,1,3,3,4,10
21302536332,4,3,76.0,3.0,4,1,0,3,3,4,9
21302536338,4,3,60.0,3.0,4,0,0,3,3,4,4
21302536341,4,4,100.0,3.0,4,0,0,3,3,4,6
21302536726,4,4,100.0,3.0,4,1,0,3,3,4,8
21302536729,4,4,120.0,3.0,4,1,0,3,3,4,9
21302536732,4,4,150.0,3.0,4,1,1,3,3,4,9
21302536733,4,3,80.0,3.0,4,0,0,3,3,4,2
21302536738,4,4,100.0,3.0,4,0,0,3,3,4,6
21302536741,4,3,60.0,3.0,1,1,0,3,3,4,5
21302537126,4,3,50.0,3.0,1,0,0,3,3,4,2
21302537129,4,3,70.0,3.0,4,0,1,3,3,4,4
21302537132,4,2,30.0,3.0,1,0,0,3,3,4,4
21302537136,4,2,45.0,3.0,1,0,0,3,3,4,3
21302537138,0,4,70.0,3.0,1,1,0,3,3,4,8
21302537141,4,3,70.0,3.0,4,1,1,3,3,4,6
21303537526,4,4,110.0,3.0,4,1,0,3,3,4,9
21303537529,4,4,80.0,3.0,4,0,1,3,3,4,7
21303537532,4,3,80.0,3.0,4,0,0,3,3,4,5
21303537535,4,4,110.0,2.0,4,0,1,3,3,4,9
21303537538,0,4,120.0,3.0,4,0,0,3,3,4,5
21303537541,4,4,120.0,3.0,4,0,0,3,3,4,5
21303537925,4,3,60.0,3.0,1,0,0,3,3,4,4
21402545926,4,4,100.0,2.0,4,1,0,3,3,4,8
21402545929,4,4,100.0,3.0,4,0,0,3,3,4,8
21402545932,0,4,90.0,3.0,4,1,0,3,3,4,5
21402545935,4,4,120.0,3.0,4,0,0,3,3,4,6
21402545938,4,4,110.0,3.0,4,0,0,3,3,4,6
21402546326,0,3,60.0,3.0,4,0,0,3,3,4,8
21402546329,0,4,150.0,3.0,4,1,0,3,3,4,9
21402546332,4,4,80.0,3.0,4,1,0,3,3,4,7
21402546335,4,4,100.0,3.0,4,1,0,3,3,4,8
21402546338,4,4,100.0,3.0,1,1,0,3,3,4,7
21402546341,0,5,170.0,3.0,4,1,0,3,3,4,6
21402546726,4,4,120.0,3.0,7,0,0,3,3,4,5
21402546729,4,4,80.0,3.0,4,0,0,3,3,4,5
21402546732,4,5,130.0,3.0,7,1,0,3,3,4,8
21402546733,5,5,120.0,3.0,4,1,0,3,3,4,8
21402546738,4,2,100.0,3.0,7,0,0,3,3,4,6
21402546741,4,5,150.0,3.0,4,0,0,3,3,4,9
21403547126,4,2,50.0,3.0,7,0,0,3,3,4,6
21403547129,4,5,150.0,3.0,7,1,0,3,3,4,6
21403547132,4,4,100.0,3.0,1,0,0,3,3,4,8
21403547135,0,3,50.0,3.0,7,1,0,3,3,4,8
21406550738,5,2,70.0,3.0,4,0,0,3,3,4,2
21406551126,0,3,80.0,3.0,7,0,0,3,3,4,4
21406551129,4,4,110.0,2.0,4,1,0,3,3,4,5
21406551132,4,4,100.0,3.0,4,0,1,3,3,4,8
21406551135,4,4,80.0,2.0,4,1,0,3,3,4,8
21406551138,4,4,100.0,3.0,4,0,0,3,3,4,8
21406551141,4,4,110.0,3.0,4,1,0,3,3,4,4
21407551526,4,4,100.0,3.0,4,0,0,3,3,4,8
21407551529,4,4,120.0,3.0,4,0,0,3,3,4,5
21407551532,4,5,120.0,3.0,1,0,0,3,3,4,7
21019513028,4,4,120.0,3.0,1,0,1,3,3,4,5
21019513029,4,4,80.0,3.0,2,0,0,3,3,4,9
21019513034,4,2,90.0,3.0,4,0,1,3,3,4,4
21019513035,4,5,120.0,3.0,4,0,1,3,3,4,5
21019513038,4,4,70.0,3.0,2,1,1,3,3,4,8
21019513041,4,3,120.0,3.0,2,1,1,3,3,4,9
21020513829,4,3,100.0,3.0,4,0,0,3,3,4,6
21020513830,4,4,100.0,3.0,4,1,0,3,3,4,7
21020513834,0,2,80.0,3.0,4,0,0,3,3,4,8
21020513835,0,2,70.0,3.0,4,1,0,3,3,4,7
21020513838,4,5,120.0,3.0,3,1,0,3,3,4,8
21020513841,0,2,50.0,3.0,3,1,0,3,3,4,9
21021506626,4,4,140.0,3.0,5,1,0,3,3,4,9
21021506629,4,4,120.0,3.0,5,1,0,3,3,4,8
21021506632,4,4,120.0,3.0,5,1,1,3,3,4,9
21021506634,4,4,115.0,3.0,5,0,0,3,3,4,6
21021506638,4,4,100.0,3.0,4,0,0,3,3,4,7
21023515025,4,3,100.0,3.0,4,1,0,2,4,3,6
21023515026,4,3,120.0,3.0,4,1,0,2,4,3,6
21023515031,4,3,80.0,3.0,4,0,0,2,4,5,6
21023515036,4,5,180.0,3.0,4,1,1,2,4,3,7
21023515038,4,5,160.0,3.0,4,1,1,2,4,3,6
21023515041,4,5,170.0,3.0,5,1,1,2,4,3,7
21024515829,4,4,140.0,3.0,4,1,0,3,3,4,8
21024515830,0,4,118.0,3.0,4,0,1,3,3,4,8
21024515832,1,3,108.0,3.0,4,0,1,3,3,4,6
21024515835,4,3,100.0,3.0,3,0,0,3,3,4,6
21024515838,4,4,120.0,3.0,4,1,0,3,3,4,8
21024515841,4,3,115.0,3.0,4,1,0,3,3,4,7
21101516326,0,1,21.0,3.0,4,0,0,2,4,1,2
21101516330,4,3,62.0,3.0,7,0,0,2,4,1,3
21101516334,0,1,21.0,3.0,7,0,0,2,4,1,2
21101516335,4,3,60.0,3.0,4,0,0,2,4,1,3
21101516338,4,2,42.0,3.0,7,0,0,2,4,5,2
21101516341,4,3,68.0,3.0,7,0,0,2,4,1,3
21101516726,0,1,21.0,3.0,4,0,0,3,3,4,4
21101516729,4,3,68.0,3.0,4,0,0,3,3,4,5
21101516732,4,1,21.0,3.0,7,0,0,2,4,5,2
21101516734,4,1,14.0,3.0,6,0,0,2,4,5,2
21101516738,0,1,21.0,3.0,4,0,0,2,4,5,3
21101516741,4,5,110.0,3.0,4,0,1,2,4,1,5
21102517125,4,2,50.0,3.0,3,0,0,2,0,1,3
21102517126,4,4,95.0,3.0,2,0,0,2,0,1,4
21102517132,4,2,45.0,3.0,7,0,0,2,0,1,4
21102517135,4,6,80.0,2.0,2,0,0,2,0,1,3
21102517138,4,2,55.0,3.0,7,0,0,2,0,1,3
21102517141,4,3,75.0,3.0,2,0,1,2,0,1,4
21102517527,0,1,20.0,3.0,7,0,0,2,0,1,3
21102517530,0,1,18.0,3.0,2,1,0,2,0,1,4
21102517532,4,3,80.0,3.0,7,0,0,2,0,1,3
21102517536,4,1,20.0,3.0,7,0,0,2,0,1,3
21102517538,4,3,80.0,3.0,2,0,0,2,0,1,3
21102517541,4,1,25.0,3.0,2,0,0,2,0,1,3
21103517926,4,1,20.0,3.0,4,0,0,2,4,3,2
21103517929,4,4,70.0,3.0,4,0,0,2,4,3,3
21103517935,4,6,180.0,3.0,4,1,0,2,4,3,4
21103518326,4,1,30.0,3.0,7,0,0,2,4,3,2
21103518329,4,1,24.0,3.0,2,0,0,2,4,3,2
21103518332,4,4,80.0,3.0,5,0,0,2,4,1,2
21103518335,4,1,15.0,3.0,7,0,0,2,4,3,2
21103518338,4,5,130.0,3.0,5,1,0,2,4,1,5
21103518341,4,4,70.0,3.0,7,0,0,2,4,3,3
21104518726,4,5,130.0,3.0,4,0,0,2,4,3,6
