Address,member,subsidy_number,subsidy_month,subsidy,Fasl,year
10104014020,1,2.0,12,10920000,1,1399
10101011216,1,2.0,12,10920000,1,1399
10106018429,1,1.0,12,5460000,1,1399
10103013617,1,2.0,12,10920000,1,1399
10106018420,1,3.0,12,16380000,1,1399
10110022024,1,1.0,12,5460000,1,1399
10111022824,1,2.0,12,10920000,1,1399
10111023218,1,5.0,12,27300000,1,1399
10111023223,1,3.0,12,16380000,1,1399
10111023229,1,1.0,12,5460000,1,1399
10102012416,1,1.0,12,5460000,1,1399
10104014416,1,4.0,12,21840000,1,1399
10104014426,1,4.0,12,21840000,1,1399
10105016816,1,4.0,12,21840000,1,1399
10105016817,1,3.0,12,16380000,1,1399
10105016820,1,4.0,12,21840000,1,1399
10105016823,1,4.0,12,21840000,1,1399
10105016829,1,2.0,12,10920000,1,1399
10113024013,1,2.0,12,10920000,1,1399
10113024014,1,2.0,12,10920000,1,1399
10113024414,1,1.0,12,5460000,1,1399
10113024420,1,1.0,12,5460000,1,1399
10113024420,1,1.0,5,2275000,1,1399
10115025222,1,3.0,12,16380000,1,1399
10116025616,1,3.0,12,16380000,1,1399
10116025626,1,1.0,12,5460000,1,1399
10116025629,1,1.0,12,5460000,1,1399
10101011226,1,1.0,12,5460000,1,1399
10103013626,1,4.0,12,21840000,1,1399
10101010813,1,2.0,12,10920000,1,1399
10109020826,1,2.0,12,10920000,1,1399
10109020814,1,3.0,12,16380000,1,1399
10106018426,1,4.0,12,21840000,1,1399
10109021223,1,3.0,12,16380000,1,1399
10105016416,1,2.0,12,10920000,1,1399
10109021217,1,2.0,12,10920000,1,1399
10101011629,1,3.0,12,16380000,1,1399
10112023626,1,3.0,12,16380000,1,1399
10109021229,1,3.0,12,16380000,1,1399
10104014029,1,4.0,12,21840000,1,1399
10103013620,1,4.0,12,21840000,1,1399
10110021615,1,4.0,12,21840000,1,1399
10110021616,1,3.0,12,16380000,1,1399
10110021620,1,3.0,12,16380000,1,1399
10110022013,1,3.0,12,16380000,1,1399
10110022014,1,3.0,12,16380000,1,1399
10110022022,1,2.0,12,10920000,1,1399
10110022022,2,1.0,12,5460000,1,1399
10102012418,1,2.0,12,10920000,1,1399
10102012420,1,2.0,12,10920000,1,1399
10104014814,1,3.0,12,16380000,1,1399
10104014817,1,5.0,12,27300000,1,1399
10104014820,1,4.0,12,21840000,1,1399
10104014822,1,2.0,12,10920000,1,1399
10104014826,1,4.0,12,21840000,1,1399
10105017214,1,4.0,12,21840000,1,1399
10105017216,1,4.0,12,21840000,1,1399
10105017219,1,4.0,12,21840000,1,1399
10105017229,1,3.0,12,16380000,1,1399
10107019620,1,2.0,12,10920000,1,1399
10107019623,1,4.0,12,21840000,1,1399
10113024421,1,2.0,12,10920000,1,1399
10116025621,1,3.0,12,16380000,1,1399
10102012422,1,2.0,12,10920000,1,1399
10107019626,1,4.0,12,21840000,1,1399
10116025617,1,3.0,12,16380000,1,1399
10108020014,1,3.0,12,16380000,1,1399
10108020014,4,1.0,12,5460000,1,1399
10108020023,1,2.0,12,10920000,1,1399
10108020029,1,3.0,12,16380000,1,1399
10108020029,4,1.0,12,5460000,1,1399
10111022417,1,3.0,12,16380000,1,1399
10111022423,1,2.0,12,10920000,1,1399
10111022426,1,5.0,12,27300000,1,1399
10111022429,1,3.0,12,16380000,1,1399
10105015214,1,2.0,12,10920000,1,1399
10105015218,1,2.0,12,10920000,1,1399
10105015224,1,4.0,12,21840000,1,1399
10105017613,1,3.0,12,16380000,1,1399
10105017614,1,3.0,12,16380000,1,1399
10105017626,1,3.0,12,16380000,1,1399
10105017629,1,2.0,12,10920000,1,1399
10114024818,1,4.0,12,21840000,1,1399
10114024819,1,4.0,12,21840000,1,1399
10114024820,1,4.0,12,21840000,1,1399
10114024829,1,5.0,12,27300000,1,1399
10116026026,1,2.0,12,10920000,1,1399
10103012813,1,1.0,12,5460000,1,1399
10114024826,1,4.0,12,21840000,1,1399
10105015229,1,1.0,12,5460000,1,1399
10105015226,1,3.0,12,16380000,1,1399
10105016029,1,4.0,12,21840000,1,1399
10107018819,1,1.0,12,5460000,1,1399
10101010826,1,4.0,12,21840000,1,1399
10104014016,1,5.0,12,27300000,1,1399
10101011220,1,4.0,12,21840000,1,1399
10112023615,1,3.0,12,16380000,1,1399
10108020418,1,2.0,12,10920000,1,1399
10106018023,1,4.0,12,21840000,1,1399
10109021222,1,2.0,12,10920000,1,1399
10101011623,1,4.0,12,21840000,1,1399
10107018829,1,3.0,12,16380000,1,1399
10103013220,1,3.0,12,16380000,1,1399
10109020824,1,3.0,12,16380000,1,1399
10105016419,1,3.0,12,16380000,1,1399
10106018017,1,3.0,12,16380000,1,1399
10105016426,1,3.0,12,16380000,1,1399
10106018415,1,5.0,12,27300000,1,1399
10101011614,1,1.0,12,5460000,1,1399
10103013621,1,3.0,12,16380000,1,1399
10101011617,1,1.0,12,5460000,1,1399
10107018813,1,1.0,12,5460000,1,1399
10101010818,1,3.0,12,16380000,1,1399
