Address,member,Total_income,Fasl,year
10001000226,1.0,435400000.0,1,1401
10003003229,1.0,22640000.0,1,1401
10003003229,3.0,42000000.0,1,1401
10011009725,1.0,20360000.0,1,1401
10011009720,1.0,26560000.0,1,1401
10011009735,1.0,26560000.0,1,1401
10011009729,1.0,22360000.0,1,1401
10011009721,1.0,30640000.0,1,1401
10001000230,1.0,498800000.0,1,1401
10003003235,1.0,34640000.0,1,1401
10001000232,1.0,890800000.0,1,1401
10001000235,1.0,36400000.0,1,1401
10001001523,1.0,36400000.0,1,1401
10003003232,1.0,470000000.0,1,1401
10005004624,1.0,72360000.0,1,1401
10011009732,1.0,10000000.0,1,1401
10001001532,1.0,25600000.0,1,1401
10001001535,1.0,15400000.0,1,1401
10007007226,1.0,195550000.0,1,1401
10001001520,1.0,20800000.0,1,1401
10001000221,1.0,25600000.0,1,1401
10004004227,1.0,787360000.0,1,1401
10007007222,1.0,27000000.0,1,1401
10009008524,1.0,330600000.0,1,1401
10006005935,1.0,145000000.0,1,1401
10004004232,1.0,280000000.0,1,1401
10004004219,1.0,1030000000.0,1,1401
10004004230,1.0,225000000.0,1,1401
10006005932,1.0,623650000.0,1,1401
10001000220,1.0,25600000.0,1,1401
10004004235,1.0,18600000.0,1,1401
10005004625,1.0,265600000.0,1,1401
10009008520,1.0,34600000.0,1,1401
10003003227,1.0,689000000.0,1,1401
10003003227,2.0,617000000.0,1,1401
10004004223,1.0,281000000.0,1,1401
10005004635,1.0,19540000.0,1,1401
10005004632,1.0,107150000.0,1,1401
10007007229,1.0,472000000.0,1,1401
10006005930,1.0,16560000.0,1,1401
10007007235,1.0,617000000.0,1,1401
10007007232,1.0,103000000.0,1,1401
10001000625,1.0,20800000.0,1,1401
10001000619,1.0,624800000.0,1,1401
10001000622,1.0,1205600000.0,1,1401
10001000635,1.0,450800000.0,1,1401
10001000635,2.0,370000000.0,1,1401
10001000627,1.0,702400000.0,1,1401
10010009325,1.0,26560000.0,1,1401
10010009332,1.0,34600000.0,1,1401
10010009335,1.0,288000000.0,1,1401
10010009322,1.0,494560000.0,1,1401
10002002820,1.0,356640000.0,1,1401
10002002832,1.0,10000000.0,1,1401
10002002832,2.0,980000.0,1,1401
10002002824,1.0,489640000.0,1,1401
10010009329,1.0,362560000.0,1,1401
10010009321,1.0,36560000.0,1,1401
10010009321,3.0,19960000.0,1,1401
10002002835,1.0,32170000.0,1,1401
10002002835,3.0,4000000.0,1,1401
10002002830,1.0,74400000.0,1,1401
10002002830,2.0,387000000.0,1,1401
10002002829,1.0,687000000.0,1,1401
10006006830,1.0,12600000.0,1,1401
10006006832,1.0,24360000.0,1,1401
10006006823,1.0,569160000.0,1,1401
10001001927,1.0,25600000.0,1,1401
10001001920,1.0,30400000.0,1,1401
10006006827,1.0,10000000.0,1,1401
10006006819,1.0,389000000.0,1,1401
10006006835,1.0,371520000.0,1,1401
10001001527,1.0,500800000.0,1,1401
10005004627,1.0,387000000.0,1,1401
10001001924,1.0,555800000.0,1,1401
10001001935,1.0,25600000.0,1,1401
10001001528,1.0,25600000.0,1,1401
10001001925,1.0,25600000.0,1,1401
10001001932,1.0,687400000.0,1,1401
10009008535,1.0,489000000.0,1,1401
10009008535,2.0,485000000.0,1,1401
10003003223,1.0,1040000000.0,1,1401
10009008532,1.0,29320000.0,1,1401
10006005921,1.0,10000000.0,1,1401
10006005928,1.0,32740000.0,1,1401
10001000632,1.0,628600000.0,1,1401
10013010623,1.0,36560000.0,1,1401
10013010623,3.0,34560000.0,1,1401
10013010623,4.0,12000000.0,1,1401
10013010622,1.0,50640000.0,1,1401
10009008132,1.0,49810000.0,1,1401
10009008132,2.0,700000.0,1,1401
10009008128,1.0,957560000.0,1,1401
10013010635,1.0,49940000.0,1,1401
10013010626,1.0,26560000.0,1,1401
10006005522,1.0,350700000.0,1,1401
10006005532,1.0,10000000.0,1,1401
10006005523,1.0,405000000.0,1,1401
10006005530,1.0,25650000.0,1,1401
10009008121,1.0,974000000.0,1,1401
10009008123,1.0,334000000.0,1,1401
10009008135,1.0,32360000.0,1,1401
10009008135,3.0,920000.0,1,1401
10006006322,1.0,26560000.0,1,1401
10006006321,1.0,548560000.0,1,1401
10010008922,1.0,492040000.0,1,1401
10006006326,1.0,521960000.0,1,1401
10013010632,1.0,68700000.0,1,1401
10006005535,1.0,23650000.0,1,1401
10013010627,1.0,39560000.0,1,1401
10009008129,1.0,540000000.0,1,1401
10010008923,1.0,316600000.0,1,1401
10010008929,1.0,23360000.0,1,1401
10010008935,1.0,17040000.0,1,1401
10012010120,1.0,30640000.0,1,1401
10006006332,1.0,10800000.0,1,1401
10010008932,1.0,24600000.0,1,1401
10010008926,1.0,30640000.0,1,1401
10007007722,1.0,444600000.0,1,1401
10007007723,1.0,16600000.0,1,1401
10007007725,1.0,30640000.0,1,1401
10005005126,1.0,186600000.0,1,1401
10012010123,1.0,10000000.0,1,1401
10005005128,1.0,20640000.0,1,1401
10007007732,1.0,30640000.0,1,1401
10007007730,1.0,625000000.0,1,1401
10007007730,3.0,40500000.0,1,1401
10001001120,1.0,20400000.0,1,1401
10004003826,1.0,68600000.0,1,1401
10007007735,1.0,34600000.0,1,1401
10012010129,1.0,26560000.0,1,1401
10001001128,1.0,15600000.0,1,1401
10004003823,1.0,260560000.0,1,1401
10004003829,1.0,128640000.0,1,1401
10005005124,1.0,20640000.0,1,1401
10004003822,1.0,380000000.0,1,1401
10006006335,1.0,39500000.0,1,1401
10004003835,1.0,26560000.0,1,1401
10004003835,2.0,84000000.0,1,1401
10012010135,1.0,89000000.0,1,1401
10001002425,1.0,26400000.0,1,1401
10001002430,1.0,20400000.0,1,1401
10001002423,1.0,15600000.0,1,1401
