Address,member,Male_count,Female_count,age,literacy,studying,degree,occupationalst,maritalst,province,town,tenure,room,space,construction,material,vehicle,motorcycle,cookingfuel,heatingfuel,waterheatingfuel,facilities,total_cost,total_income
20510448335,3,2,1,42.333333333333336,1.0,0.0,9,4,1,14,10,4,2,35.0,3.0,4,1,0,3,3,4,7,282339380.0,56945000.0
20510448338,4,1,3,32.75,1.0,0.25,2,0,1,14,10,4,3,60.0,3.0,4,1,0,3,3,4,6,52799520.0,321890000.0
20510448341,2,1,1,54.5,0.0,0.0,6,1,1,14,10,4,4,95.0,3.0,4,0,0,3,3,4,4,30299760.0,115490000.0
20510448429,2,1,1,34.0,1.0,0.0,3,4,3,14,10,4,4,90.0,3.0,4,0,0,3,3,4,5,50284760.0,255430000.0
20510448435,4,3,1,37.75,1.0,0.0,3,4,1,14,10,4,3,100.0,3.0,4,1,0,3,3,4,4,82297520.0,94010000.0
20510448438,5,3,2,17.8,0.8,0.4,3,4,2,14,10,4,3,100.0,3.0,4,1,0,3,3,4,7,1565367040.0,120400000.0
20510448441,4,2,2,37.0,0.75,0.0,3,4,1,14,10,4,4,110.0,3.0,4,0,0,3,3,4,7,190137040.0,92810000.0
20511448527,3,1,2,35.0,1.0,0.0,9,4,1,14,11,4,3,75.0,3.0,4,0,0,3,3,4,4,334755000.0,578600000.0
20511448532,3,2,1,47.0,0.3333333333333333,0.0,6,4,1,14,11,4,3,80.0,3.0,4,1,1,3,3,4,6,5444461140.0,1056325000.0
20511448533,6,2,4,30.83333333333333,0.6666666666666666,0.3333333333333333,9,4,2,14,11,4,4,110.0,3.0,4,1,0,3,3,4,6,169332280.0,1231600000.0
20511448538,3,2,1,29.0,1.0,0.3333333333333333,2,4,1,14,11,4,4,100.0,3.0,4,0,0,3,3,4,6,398359000.0,261325000.0
20511448541,4,3,1,34.0,1.0,0.25,3,4,1,14,11,4,3,78.0,3.0,4,0,0,3,3,4,7,336463500.0,849600000.0
20511448628,5,2,3,20.6,0.8,0.4,9,3,2,14,11,4,3,90.0,3.0,4,1,0,3,3,4,5,257430000.0,203500000.0
20511448629,4,2,2,30.5,1.0,0.5,3,3,1,14,11,0,3,80.0,3.0,4,1,0,3,3,4,7,496965000.0,122590000.0
20511448632,1,0,1,83.0,0.0,0.0,6,1,3,14,11,0,2,70.0,3.0,4,0,0,3,3,4,4,40990000.0,235965000.0
20511448635,4,3,1,46.5,0.75,0.0,3,4,1,14,11,4,4,100.0,3.0,4,0,0,3,3,4,5,83283520.0,1062590000.0
20511448638,2,1,1,54.0,1.0,0.0,0,4,1,14,11,4,4,120.0,3.0,4,1,0,3,3,4,8,126618760.0,1064170000.0
20511448726,6,4,2,33.0,0.5,0.1666666666666666,6,0,1,14,11,5,4,95.0,3.0,4,0,0,3,3,4,4,57252280.0,265700000.0
