Address,total_income
20001383925,702600000.0
20001383929,254690000.0
20001383932,133250000.0
20001383934,444300000.0
20001383938,0.0
20001383941,276350000.0
20001384026,254270000.0
20001384027,102825000.0
20001384031,86465000.0
20001384035,99830000.0
20001384038,213270000.0
20001384041,94750000.0
20001384126,125120000.0
20001384129,96200000.0
20001384135,148700000.0
20001384136,835040000.0
20001384138,537340000.0
20001384141,616240000.0
20001384225,181180000.0
20001384229,27640000.0
20001384232,620440000.0
20001384233,256180000.0
20001384238,212720000.0
20001384241,57100000.0
20001384326,382495000.0
20001384327,846990000.0
20001384332,111725000.0
20001384335,80380000.0
20001384338,1308525000.0
20001384341,56880000.0
20001384425,736110000.0
20001384426,80520000.0
20001384432,147000000.0
20001384435,128800000.0
20001384438,62110000.0
20001384441,101020000.0
20001384525,185680000.0
20001384528,845460000.0
20001384531,1556730000.0
20001384533,133460000.0
20001384538,100095000.0
20001384541,1018365000.0
20001384626,628680000.0
20001384629,197540000.0
20001384631,55060000.0
20001384636,89480000.0
20001384638,67480000.0
20001384641,29220000.0
20001384726,148920000.0
20001384729,133800000.0
20001384734,408460000.0
20001384735,635840000.0
20001384738,113800000.0
20001384741,634490000.0
20001384826,85245000.0
20001384828,140920000.0
20001384833,209800000.0
20001384834,70270000.0
20001384838,1262825000.0
20001384841,794800000.0
20001384928,1263060000.0
20001384930,82150000.0
20001384931,908160000.0
20001384932,2819380000.0
20001384938,1073180000.0
20001384941,932940000.0
20001385026,286570000.0
20001385029,817565000.0
20001385032,52965000.0
20001385034,299460000.0
20001385038,768065000.0
20001385041,44465000.0
20001385125,102550000.0
20001385129,138150000.0
20001385132,72700000.0
20001385133,173100000.0
20001385138,87640000.0
20001385141,499960000.0
20001385226,80290000.0
20001385229,80290000.0
20001385231,270920000.0
20001385234,461290000.0
20001385238,300000000.0
20001385241,750290000.0
20001385329,99180000.0
20001385330,171760000.0
20001385332,756720000.0
20001385335,117880000.0
20001385338,144060000.0
20001385341,657060000.0
20001385425,728160000.0
20001385430,440520000.0
20001385434,42640000.0
20001385435,602320000.0
20001385438,822320000.0
20001385441,633520000.0
20001385526,74830000.0
20001385529,892190000.0
20001385533,84990000.0
20001385534,77575000.0
20001385538,1311655000.0
20001385541,480135000.0
20001385625,2767550000.0
20001385630,94420000.0
20001385635,88390000.0
20001385636,81990000.0
20001385638,85090000.0
20001385641,765060000.0
20001385725,1806730000.0
20001385729,437315000.0
20001385731,115210000.0
20001385734,854610000.0
20001385738,354365000.0
20001385741,18410000.0
20002385825,685780000.0
20002385828,536180000.0
20002385831,802720000.0
20002385835,57180000.0
20002385838,1696000000.0
20002385841,543180000.0
20002385929,134840000.0
20002385930,1204580000.0
20002385932,78840000.0
20002385935,80840000.0
20002385938,869030000.0
20002385941,200480000.0
20002386027,738920000.0
20002386029,692825000.0
20002386032,367380000.0
20002386035,265475000.0
20002386038,338475000.0
20002386041,1038920000.0
20002386126,176510000.0
20002386130,521220000.0
20002386134,1058860000.0
20002386135,292010000.0
20002386138,914493000.0
20002386141,895220000.0
20002386226,1057000000.0
20002386229,925610000.0
20002386231,227305000.0
20002386234,1355000000.0
20002386238,157865000.0
20002386241,739210000.0
20002386325,49850000.0
20002386327,360700000.0
20002386334,345100000.0
20002386335,513600000.0
20002386338,77750000.0
20002386341,374200000.0
20002386428,2299555000.0
20002386429,101490000.0
20002386431,636920000.0
20002386433,895105000.0
20002386438,100290000.0
20002386441,118370000.0
20003386526,161060000.0
20003386530,325820000.0
20003386531,1767420000.0
20003386532,252440000.0
20003386538,337080000.0
20003386541,878240000.0
20003386626,563920000.0
20003386627,49640000.0
20003386634,430920000.0
20003386636,1690720000.0
20003386638,111460000.0
20003386641,50720000.0
20003386727,272095000.0
20003386728,300095000.0
20003386731,322945000.0
20003386735,555040000.0
20003386738,182390000.0
20003386741,239670000.0
20003386825,88280000.0
20003386829,417360000.0
20003386835,668090000.0
20003386836,757360000.0
20003386838,109360000.0
20003386841,743480000.0
20003386925,112730000.0
20003386926,505680000.0
20003386935,494730000.0
20003386936,1210095000.0
20003386938,443830000.0
20003387028,430580000.0
20003387029,327760000.0
20003387034,44740000.0
20003387036,605340000.0
20003387038,1390620000.0
20003387041,445000000.0
20003387127,375640000.0
20003387128,424180000.0
20003387131,63640000.0
20003387134,328120000.0
20003387138,421480000.0
20003387141,258840000.0
20004387228,60800000.0
20004387229,1067980000.0
20004387234,316075000.0
20004387236,568920000.0
20004387238,876000000.0
20004387241,174275000.0
20004387325,136880000.0
20004387330,245820000.0
20004387333,894490000.0
20004387335,240000000.0
20004387338,123910000.0
20004387341,103910000.0
20004387428,270160000.0
20004387429,115160000.0
20004387432,174760000.0
20004387434,945455000.0
20004387438,1721260000.0
20004387441,699825000.0
20004387526,83780000.0
20004387529,2621080000.0
20004387534,131180000.0
20004387535,65470000.0
20004387538,254180000.0
20004387541,224550000.0
20004387626,147435000.0
20004387627,443740000.0
20004387633,176270000.0
20004387635,86185000.0
20004387638,304105000.0
20004387641,552730000.0
20004387725,1176440000.0
20004387729,701640000.0
20004387732,160240000.0
20004387735,142300000.0
20004387738,1066730000.0
20004387741,190880000.0
20004387829,184080000.0
20004387830,164320000.0
20004387831,97240000.0
20004387833,284580000.0
20004387838,221780000.0
20004387841,357680000.0
20004387927,45135000.0
20004387930,125040000.0
20004387934,129145000.0
20004387936,1478790000.0
20004387938,990230000.0
20004387941,4095000.0
20004388026,241640000.0
20004388030,1132260000.0
20004388035,227440000.0
20004388036,504660000.0
20004388038,432260000.0
20004388041,728090000.0
